Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
Alkali Flat,A3,2016-07-08,40.09507086,-120.3448771,216.32,,42949,41127,40368,38474,17990,19156,586,1742,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
Alkali Flat,A1,2016-07-08,40.09484899,-120.3442265,335.52,,43057,41329,40569,38569,18289,19438,586,1743,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
Alkali Flat,A5,2016-07-08,40.09518997,-120.3443801,551.36,,45404,44022,43806,41549,12813,12944,586,1743,1.2122610184490004,282.3999938964844,297.8999938964844,2016-02-04
Alkali Flat,A12,2016-07-08,40.0937404,-120.3429252,607.36,,40378,38593,38850,38587,28322,22869,586,1746,2.5943974536711933,282.3999938964844,297.8999938964844,2016-04-24
Alkali Flat,A8,2016-07-08,40.09377879,-120.3434385,649.6,,40234,38474,38711,38410,28208,22789,586,1743,3.7483012687025603,282.3999938964844,297.8999938964844,2016-04-24
Alkali Flat,A10,2016-07-08,40.09414684,-120.3433888,737.92,,43137,40553,39936,38260,17724,18901,586,1744,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
Bean,BE1,2016-06-01,37.75321,-120.14115,158.08,,28601,27822,27834,29604,14453,14255,55,965,4.380996278470539,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE10,2016-06-01,37.753,-120.14211,125.28,,28603,27760,27792,29713,14397,14260,2,968,2.193702193997338,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE11,2016-06-01,37.7528,-120.14188,372.0,,28671,27865,27948,29737,14446,14257,2,968,1.1728954351525835,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE12,2016-06-01,37.75259,-120.14163,244.32,,28839,27938,28004,29831,14451,14270,55,968,1.1728954351525835,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE13,2016-06-01,37.75489,-120.14307,408.64,,28176,27467,27524,29344,14394,14235,49,965,0.9274099368611016,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE14,2016-06-01,37.75511,-120.14286,187.36,,27893,27313,27335,29335,14435,14252,49,965,2.193718647628853,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE15,2016-06-01,37.75547,-120.14291,487.2,,27216,26763,26796,28858,14516,14236,49,967,2.193720998282268,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE16,2016-06-01,37.75531,-120.14264,297.76,,27680,27132,27121,29188,14532,14277,49,968,3.971867193727939,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE17,2016-06-01,37.75494,-120.1426,215.52,,27931,27239,27246,29337,14477,14260,49,965,1.1729262510527452,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE18,2016-06-01,37.75472,-120.14281,157.44,,28053,27336,27364,29357,14384,14238,49,965,0.9274099368611016,283.79998779296875,306.29998779296875,2016-12-13
Bean,BE19,2016-06-01,37.7535,-120.14386,218.4,,28768,28061,27947,29820,14543,14302,2,967,0.0,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE2,2016-06-01,37.75339,-120.14139,160.0,,28478,27650,27742,29640,14416,14260,55,967,3.9717973991256255,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE20,2016-06-01,37.75378,-120.14388,116.16,,28633,27856,27824,29618,14461,14274,2,967,0.0,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE21,2016-06-01,37.75405,-120.14391,169.6,,28695,27853,27789,29808,14439,14288,2,967,1.1729174461768341,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE22,2016-06-01,37.75405,-120.14358,111.68,,28552,27670,27703,29633,14426,14254,2,968,1.1729174462068284,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE23,2016-06-01,37.75378,-120.14355,77.12,,28581,27833,27815,29622,14459,14272,2,967,0.9274099368611016,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE24,2016-06-01,37.75351,-120.14352,155.52,,28710,27929,27923,29745,14466,14279,2,967,0.9274099368492421,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE3,2016-06-01,37.75358,-120.14164,91.04,,28242,27534,27568,29433,14441,14261,55,965,3.5148019284102294,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE4,2016-06-01,37.75376,-120.14139,171.04,,28242,27534,27568,29433,14441,14261,55,968,3.6345160742688485,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE5,2016-06-01,37.75358,-120.14114,413.6,,28224,27487,27512,29370,14427,14256,55,968,3.704791833623834,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE6,2016-06-01,37.75339,-120.1409,235.84,,28386,27620,27574,29476,14483,14277,55,967,4.627367505860409,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE7,2016-06-01,37.75243,-120.14191,182.72,,28795,27862,27881,29728,14413,14234,2,967,1.854334168853263,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE8,2016-06-01,37.75263,-120.14213,224.0,,28791,27901,27864,29753,14446,14271,2,968,0.9274099368492421,283.6000061035156,306.3999938964844,2016-12-13
Bean,BE9,2016-06-01,37.75283,-120.14237,104.0,,28753,27856,27865,29733,14443,14258,2,968,1.495092908449455,283.6000061035156,306.3999938964844,2016-12-13
Big Flat,F8,2017-08-02,40.14846073,-120.4615125,347.2,,54151,52954,53448,53644,29794,28522,118,1738,3.0327025679334945,292.6000061035156,305.70001220703125,2017-01-05
Big Flat,F12,2017-08-02,40.14845227,-120.4610242,433.44,,53842,52629,53186,53367,29614,28244,118,1738,1.2132170180194373,292.6000061035156,305.70001220703125,2017-01-05
Big Flat,F1,2017-08-02,40.1495622,-120.45974,700.96,,51383,50086,50446,50572,23315,22498,118,1740,0.0,292.6000061035156,305.70001220703125,2017-01-05
Big Flat,F3,2017-08-02,40.14907463,-120.4601002,788.8,,52189,50888,51298,51583,24122,23436,118,1739,3.0516808043445063,292.6000061035156,305.70001220703125,2017-01-05
Big Flat,F10,2017-08-02,40.14806067,-120.4615,797.92,,54476,53339,53843,53989,30841,29464,118,1739,0.9274099368492421,292.6000061035156,305.70001220703125,2017-01-05
Big Flat,F5,2017-08-02,40.14916884,-120.4596047,922.24,,51345,49911,50090,50010,20827,20468,118,1740,2.596235910882626,292.6000061035156,305.70001220703125,2017-01-05
Bonita,BO1,2016-07-13,36.04003875,-118.3321552,299.52,,51775,49204,48619,45962,18116,18192,18,2539,3.6014675957059064,281.0,295.29998779296875,2016-01-30
Bonita,BO10,2016-07-13,36.04104,-118.33338,426.08,,52074,49471,48946,46287,18246,18198,8,2542,7.091412860989067,281.0,295.29998779296875,2016-01-30
Bonita,BO11,2016-07-13,36.04088827,-118.3331067,572.48,,51924,49320,48762,46109,18362,18249,18,2543,5.0470492141325956,281.0,295.29998779296875,2016-01-30
Bonita,BO12,2016-07-13,36.04074,-118.33283,648.0,,52009,49400,48823,46200,18353,18242,18,2544,4.353551015453373,281.0,295.29998779296875,2016-01-30
Bonita,BO13,2016-07-13,36.03774023,-118.3296938,382.4,,51191,48626,48044,45384,17794,17805,18,2532,3.9030664595194797,281.0,295.29998779296875,2016-01-30
Bonita,BO14,2016-07-13,36.03749,-118.32981,418.72,,51222,48763,48132,45496,17826,17862,18,2529,6.910439442099732,281.0,295.29998779296875,2016-01-30
Bonita,BO15,2016-07-13,36.03723108,-118.3299158,243.36,,51272,48796,48213,45510,17951,17962,6,2530,5.87952656955441,281.0,295.29998779296875,2016-01-30
Bonita,BO16,2016-07-13,36.03728,-118.33023,302.4,,51308,48846,48226,45519,18003,17974,6,2529,6.464860749435276,281.0,295.29998779296875,2016-01-30
Bonita,BO17,2016-07-13,36.03738875,-118.3305344,180.64,,51321,48901,48250,45571,18004,17945,6,2530,7.308025699138249,281.0,295.29998779296875,2016-01-30
Bonita,BO18,2016-07-13,36.03754,-118.33011,312.16,,51348,48817,48238,45528,17969,17924,18,2526,2.179896473813677,281.0,295.29998779296875,2016-01-30
Bonita,BO19,2016-07-13,36.0369756,-118.3300267,109.12,,51329,48850,48232,45503,18063,17989,6,2530,5.87952656955441,281.0,295.29998779296875,2016-01-30
Bonita,BO2,2016-07-13,36.04019,-118.33243,385.12,,51775,49204,48619,45962,18116,18192,18,2539,1.4747717115283203,281.0,295.29998779296875,2016-01-30
Bonita,BO20,2016-07-13,36.03671,-118.33015,172.16,,51227,48873,48204,45552,18114,17935,6,2533,6.8529146041998015,281.0,295.29998779296875,2016-01-30
Bonita,BO21,2016-07-13,36.03646599,-118.3302562,281.28,,51177,48821,48189,45454,18004,17875,6,2536,1.4747308402468942,281.0,295.29998779296875,2016-01-30
Bonita,BO22,2016-07-13,36.03652,-118.33058,278.08,,51254,48834,48160,45514,17983,17865,6,2536,1.4747308402240957,281.0,295.29998779296875,2016-01-30
Bonita,BO23,2016-07-13,36.03677725,-118.3304621,94.08,,51243,48862,48234,45517,17948,17922,6,2535,5.99720989152355,281.0,295.29998779296875,2016-01-30
Bonita,BO24,2016-07-13,36.03703,-118.33035,196.48,,51284,48879,48217,45510,17992,17945,6,2530,7.308025699138249,281.0,295.29998779296875,2016-01-30
Bonita,BO3,2016-07-13,36.04034033,-118.3327059,299.52,,51926,49325,48725,46056,18379,18332,18,2539,1.4747717115283203,281.0,295.29998779296875,2016-01-30
Bonita,BO4,2016-07-13,36.04058,-118.33256,494.56,,51882,49244,48721,46035,18320,18293,18,2540,1.8543341688295631,281.0,295.29998779296875,2016-01-30
Bonita,BO5,2016-07-13,36.04043424,-118.3322826,309.76,,51743,49235,48635,45969,18081,18116,18,2539,1.4747717115283203,281.0,295.29998779296875,2016-01-30
Bonita,BO6,2016-07-13,36.04028,-118.33201,97.44,,51644,49089,48483,45891,17921,17927,18,2540,2.947591852746174,281.0,295.29998779296875,2016-01-30
Bonita,BO7,2016-07-13,36.04049153,-118.3329856,551.2,,52001,49458,48857,46248,18385,18321,18,2541,3.6014778509521777,281.0,295.29998779296875,2016-01-30
Bonita,BO8,2016-07-13,36.04064,-118.33326,401.76,,52134,49531,49021,46436,18268,18267,18,2542,0.0,281.0,295.29998779296875,2016-01-30
Bonita,BO9,2016-07-13,36.04082487,-118.3335836,361.92,,52084,49591,49037,46367,18293,18284,8,2540,2.1799219714333598,281.0,295.29998779296875,2016-01-30
Bonita,C1,2015-07-24,40.24418042,-120.9009721,10.816,,35258,34768,34624,34674,27542,24286,37,1543,5.877969823126605,284.226318359375,297.0732727050781,2015-05-08
Clover Valley,CV3,2016-11-05,39.96197512,-120.4131519,14.4,,49755,47358,46666,44296,17936,19434,502,1677,0.0,271.0,291.0,2016-01-28
Clover Valley,CV1,2016-11-05,39.9614702,-120.4134275,24.0,,49745,47279,46687,44292,17469,19116,502,1677,1.5242738703161387,271.0,291.0,2016-01-28
Clover Valley,CV5,2016-11-05,39.96180673,-120.4136264,49.6,,50065,47760,47061,44605,17918,19546,502,1676,2.4187109609343658,271.0,291.0,2016-01-28
Clover Valley,CV12,2016-11-05,39.96250327,-120.4139947,54.4,,50240,48325,47604,44998,18324,19914,502,1678,1.5242894664134066,272.1000061035156,290.1000061035156,2016-01-28
Clover Valley,CV8,2016-11-05,39.96253445,-120.4134874,57.6,,49884,47596,46798,44444,18013,19563,502,1676,0.0,272.1000061035156,290.1000061035156,2016-01-28
Clover Valley,CV10,2016-11-05,39.96291071,-120.4135297,65.6,,50225,47646,47007,44674,17753,19352,4,1676,1.209914162712375,272.1000061035156,290.1000061035156,2016-01-28
Clover Valley,D13,2019-06-28,39.95544474,-120.4263173,186.64,,52856,51803,50878,42861,7245,7882,530,1670,1.5241920067571513,279.3999938964844,291.1000061035156,2019-02-28
Clover Valley,D14,2019-06-28,39.95047473,-120.4264405,176.96,,45822,44123,44611,44241,29870,23590,1,1669,0.0,279.3999938964844,291.1000061035156,2019-05-28
Clover Valley,R25,2019-06-28,39.94547401,-120.4271855,98.28,,48456,46825,46699,44050,17546,17784,438,1665,3.740680967278471,279.3999938964844,291.1000061035156,2019-02-21
Clover Valley,R26,2019-06-28,39.941533,-120.4275425,54.68,,49447,46410,45810,42711,12657,14393,6,1670,1.2095359823771814,279.3999938964844,291.1000061035156,2019-11-27
Coyote,Y8,2016-07-08,40.11126839,-120.4192016,1.76,,45397,42796,42048,39749,17491,18595,1009,1704,0.0,282.79998779296875,296.6000061035156,2016-01-28
Coyote,Y6,2016-07-08,40.11030765,-120.4171755,83.52,,45511,43142,42294,39996,17677,18844,1009,1702,2.2151162754326843,282.79998779296875,296.6000061035156,2016-01-28
Coyote,Y2,2016-07-08,40.11010582,-120.4176001,120.16,,45498,42922,42177,39921,17517,18688,1009,1704,2.215116275449633,282.79998779296875,296.6000061035156,2016-01-28
Coyote,Y4,2016-07-08,40.11039759,-120.4178613,149.76,,45694,43137,42364,40077,17713,18861,1009,1704,1.5263762677835828,282.79998779296875,296.6000061035156,2016-01-28
