Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
Alkali Flat,A1,7/8/2016,40.09484899,-120.3442265,NA,NA,NA,NA
Alkali Flat,A10,7/8/2016,40.09414684,-120.3433888,7.890251686,0.767969937,1.096108377,NA
Alkali Flat,A12,7/8/2016,40.0937404,-120.3429252,16.89787466,1.647039699,3.52153968,NA
Alkali Flat,A2,7/8/2016,40.09496072,-120.3445544,12.29394366,1.07403893,1.282680016,NA
Alkali Flat,A3,7/8/2016,40.09507086,-120.3448771,13.85880977,1.079776448,2.68779767,NA
Alkali Flat,A4,7/8/2016,40.0953105,-120.3446953,15.69134828,1.18157852,6.244319532,NA
Alkali Flat,A5,7/8/2016,40.09518997,-120.3443801,NA,NA,NA,NA
Alkali Flat,A6,7/8/2016,40.09508595,-120.3440463,9.86958903,0.954303892,11.15348578,NA
Alkali Flat,A8,7/8/2016,40.09377879,-120.3434385,10.61331012,0.773036736,5.066586063,NA
Alkali Flat,A9,7/8/2016,40.09397417,-120.3436658,8.970592926,0.718835257,1.375965836,NA
Clover Valley,CV1,11/5/2016,39.9614702,-120.4134275,8.407014805,0.577489629,0.816250919,NA
Clover Valley,CV10,11/5/2016,39.96291071,-120.4135297,6.898781024,0.492419629,2.390449121,NA
Clover Valley,CV12,11/5/2016,39.96250327,-120.4139947,7.066865309,0.51572179,0.641340008,NA
Clover Valley,CV3,11/5/2016,39.96197512,-120.4131519,7.178125312,0.472916094,0.991161831,NA
Clover Valley,CV5,11/5/2016,39.96180673,-120.4136264,5.794871479,0.424686886,0.699643645,NA
Clover Valley,CV8,11/5/2016,39.96253445,-120.4134874,3.467868004,0.245200926,2.052446308,NA
Dotta,D1,6/29/2016,39.90285002,-120.369144,19.72784162,1.702103193,0.207943478,NA
Dotta,D10,7/7/2016,39.90626656,-120.3808085,14.42008401,0.939828653,2.612002942,NA
Dotta,D11,7/7/2016,39.90641098,-120.381115,7.543926984,0.491328502,2.938503309,NA
Dotta,D12,7/7/2016,39.90658399,-120.381405,6.900145408,0.404245285,1.76076984,NA
