Unnamed: 0,Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,...1,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
1,Alkali Flat,A10,2016-07-08,40.09414684,-120.3433888,7.890251686,0.767969937,1.096108377,,,43137,40553,39936,38260,17724,18901,586,1744,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
2,Alkali Flat,A12,2016-07-08,40.0937404,-120.3429252,16.89787466,1.647039699,3.52153968,,,40378,38593,38850,38587,28322,22869,586,1746,2.5943974536711933,282.3999938964844,297.8999938964844,2016-04-24
3,Alkali Flat,A2,2016-07-08,40.09496072,-120.3445544,12.29394366,1.07403893,1.282680016,,,42897,41206,40386,38466,18212,19312,586,1742,1.5261562093981222,282.3999938964844,297.8999938964844,2016-01-28
4,Alkali Flat,A3,2016-07-08,40.09507086,-120.3448771,13.85880977,1.079776448,2.68779767,,,42949,41127,40368,38474,17990,19156,586,1742,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
5,Alkali Flat,A4,2016-07-08,40.0953105,-120.3446953,15.69134828,1.18157852,6.244319532,,,42463,41506,41478,39765,12762,12868,586,1743,1.8543341688295631,282.3999938964844,297.8999938964844,2016-02-04
6,Alkali Flat,A6,2016-07-08,40.09508595,-120.3440463,9.86958903,0.954303892,11.15348578,,,43057,41329,40569,38569,18289,19438,586,1743,0.9274099368611016,282.3999938964844,297.8999938964844,2016-01-28
7,Alkali Flat,A8,2016-07-08,40.09377879,-120.3434385,10.61331012,0.773036736,5.066586063,,,40234,38474,38711,38410,28208,22789,586,1743,3.7483012687025603,282.3999938964844,297.8999938964844,2016-04-24
8,Alkali Flat,A9,2016-07-08,40.09397417,-120.3436658,8.970592926,0.718835257,1.375965836,,,40327,38842,38984,38560,28924,23233,586,1744,2.2149593993433547,282.3999938964844,297.8999938964844,2016-04-24
9,Clover Valley,CV1,2016-11-05,39.9614702,-120.4134275,8.407014805,0.577489629,0.816250919,,,49745,47279,46687,44292,17469,19116,502,1677,1.5242738703161387,271.0,291.0,2016-01-28
10,Clover Valley,CV10,2016-11-05,39.96291071,-120.4135297,6.898781024,0.492419629,2.390449121,,,50225,47646,47007,44674,17753,19352,4,1676,1.209914162712375,272.1000061035156,290.1000061035156,2016-01-28
