Site,ID,Latitude,Longitude,SampleDate,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,RootC.kg.m2
Alkali Flat,A1,40.09484899,-120.3442265,7/8/16,NA,NA,NA,NA
Alkali Flat,A10,40.09414684,-120.3433888,7/8/16,7.890251686,0.767969937,1.096108377,0.402271774
Alkali Flat,A12,40.0937404,-120.3429252,7/8/16,16.89787466,1.647039699,3.52153968,1.292405063
Alkali Flat,A2,40.09496072,-120.3445544,7/8/16,12.29394366,1.07403893,1.282680016,0.470743566
Alkali Flat,A3,40.09507086,-120.3448771,7/8/16,13.85880977,1.079776448,2.68779767,0.986421745
Alkali Flat,A4,40.0953105,-120.3446953,7/8/16,15.69134828,1.18157852,6.244319532,2.291665268
Alkali Flat,A5,40.09518997,-120.3443801,7/8/16,NA,NA,NA,NA
Alkali Flat,A6,40.09508595,-120.3440463,7/8/16,9.86958903,0.954303892,11.15348578,4.093329281
Alkali Flat,A8,40.09377879,-120.3434385,7/8/16,10.61331012,0.773036736,5.066586063,1.859437085
Alkali Flat,A9,40.09397417,-120.3436658,7/8/16,8.970592926,0.718835257,1.375965836,0.504979462
Clover Valley,CV1,39.9614702,-120.4134275,11/5/16,8.407014805,0.577489629,0.816250919,0.299564087
Clover Valley,CV10,39.96291071,-120.4135297,11/5/16,6.898781024,0.492419629,2.390449121,0.877294827
Clover Valley,CV12,39.96250327,-120.4139947,11/5/16,7.066865309,0.51572179,0.641340008,0.235371783
Clover Valley,CV3,39.96197512,-120.4131519,11/5/16,7.178125312,0.472916094,0.991161831,0.363756392
Clover Valley,CV5,39.96180673,-120.4136264,11/5/16,5.794871479,0.424686886,0.699643645,0.256769218
Clover Valley,CV8,39.96253445,-120.4134874,11/5/16,3.467868004,0.245200926,2.052446308,0.753247795
Dotta,D1,39.90285002,-120.369144,6/29/16,19.72784162,1.702103193,0.207943478,0.076315256
Dotta,D10,39.90626656,-120.3808085,7/7/16,14.42008401,0.939828653,2.612002942,0.95860508
Dotta,D11,39.90641098,-120.381115,7/7/16,7.543926984,0.491328502,2.938503309,1.078430714
Dotta,D12,39.90658399,-120.381405,7/7/16,6.900145408,0.404245285,1.76076984,0.646202531
Dotta,D2,39.902602,-120.368949,6/29/16,10.26610274,0.80435986,1.744917016,0.640384545
