Date,Site,ID,Lat,Long,CO2PixelDay,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Acquisition_Date,Acquisition_Time,Driver,Days_of_data_acquisition_offset
2015-07-15,Goodrich,R1,40.36602127,-120.9495576,80.61369062,596.0,785.0,924.0,2058.0,2862.0,2006.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R10,40.36504242,-120.9498018,82.19461324,568.0,763.0,865.0,2008.0,2762.0,1994.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R11,40.3652384,-120.9500444,44.04858487,559.0,749.0,845.0,1992.0,2677.0,1901.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R12,40.36543585,-120.9502894,94.44364314,573.0,794.0,890.0,2262.0,2871.0,1906.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R2,40.36582421,-120.9493161,157.8061856,596.0,785.0,924.0,2058.0,2862.0,2006.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R24,40.36269477,-120.9521752,24.53069181,327.0,517.0,578.0,1701.0,1714.0,1033.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R3,40.36562882,-120.9490733,82.04200833,553.0,710.0,855.0,1807.0,2755.0,2036.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R4,40.36543343,-120.9493167,74.78187958,499.0,658.0,758.0,1890.0,2599.0,1833.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R5,40.365631,-120.9495608,75.32277695,564.0,740.0,860.0,2006.0,2818.0,1943.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R6,40.36582703,-120.9498023,102.2957111,577.0,778.0,916.0,2181.0,2862.0,1940.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R7,40.36563256,-120.9500467,57.71618913,552.0,759.0,880.0,2166.0,2868.0,1940.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R8,40.36543471,-120.9498047,59.62116454,587.0,792.0,898.0,2183.0,2841.0,1934.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-07-15,Goodrich,R9,40.36523915,-120.9495602,59.85460108,520.0,697.0,814.0,1969.0,2740.0,1978.0,2015-07-11,18:44:48,8,3.2188879629629628
2015-08-07,East Creek,C1,40.24418042,-120.9009721,11.865989,528.0,791.0,1024.0,2089.0,3304.0,2409.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C10,40.24322889,-120.9011593,23.38911366,530.0,806.0,1109.0,2108.0,2901.0,2335.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C11,40.24334065,-120.900839,14.22939432,536.0,819.0,1149.0,2127.0,2941.0,2415.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C12,40.24344813,-120.9005159,20.14425535,524.0,804.0,1102.0,2072.0,2874.0,2339.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C13,40.24385201,-120.9019367,62.34600012,579.0,883.0,1195.0,2118.0,3075.0,2482.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C14,40.24374442,-120.9022604,38.33737416,643.0,985.0,1373.0,2277.0,2916.0,2437.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C15,40.24363387,-120.9025817,34.06573678,717.0,1098.0,1512.0,2364.0,3028.0,2558.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C16,40.2433883,-120.9024298,48.42196339,553.0,827.0,1104.0,2096.0,3217.0,2457.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C17,40.24349963,-120.9021082,100.3361393,570.0,819.0,1088.0,2024.0,3403.0,2590.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C18,40.24360711,-120.9017846,69.54866341,547.0,785.0,1049.0,1995.0,3305.0,2554.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C19,40.24336144,-120.9016326,54.07679538,552.0,795.0,1057.0,1967.0,3394.0,2626.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C2,40.24407047,-120.9012938,16.71902321,524.0,770.0,1014.0,2053.0,3224.0,2401.0,2015-08-12,18:44:58,8,5.781228935185185
2015-08-07,East Creek,C20,40.24325297,-120.9019553,52.85841533,566.0,826.0,1096.0,2022.0,3366.0,2597.0,2015-08-12,18:44:58,8,5.781228935185185
