Unnamed: 0,Site,ID,SampleDate,Latitude,Longitude,CH4.nmol.m2.s,CO2.umol.m2.s,N2O.nmol.m2.s,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Driver,Days_of_data_acquisition_offset,Minimum_temperature,Maximum_temperature
1,Freeman,F01,2021-08-03,39.67512962,-120.605471,-2.08665545,7.197540694,0.016545469,8574,9851,10012,18806,18228,14059,34,2079,6.574316443660404,8,2.7772164814814815,286.8999938964844,301.3999938964844
2,Freeman,F02,2021-08-03,39.67490056,-120.605303,-1.244575851,5.710613112,-0.001748058,8627,9737,9942,18396,18575,14264,2,2079,6.003122909404213,8,2.7772164814814815,286.8999938964844,301.3999938964844
3,Freeman,F03,2021-08-03,39.67466668,-120.605126,-1.968969204,8.613075004,0.017156269,8806,10227,10852,17832,19066,15093,2,2077,5.54818452989256,8,2.7772164814814815,286.8999938964844,301.3999938964844
4,Freeman,F04,2021-08-03,39.67442563,-120.604954,-1.565727246,4.415731067,0.016045202,8501,9879,10268,18081,19324,14766,2,2080,8.526106564781688,8,2.7772164814814815,286.8999938964844,301.3999938964844
5,Freeman,F05,2021-08-03,39.67419212,-120.604781,-2.14044302,5.907605806,0.027725287,8398,9693,10078,18246,19267,14468,2,2079,5.165970047133282,8,2.7772164814814815,286.8999938964844,301.3999938964844
6,Freeman,F08,2021-08-03,39.67432903,-120.604481,-1.766082445,6.216994386,0.03665548,8558,9797,10300,18045,19494,14831,2,2078,6.04190788349092,8,2.7772164814814815,286.8999938964844,301.3999938964844
7,Freeman,F09,2021-08-03,39.67456268,-120.604655,0.34831413,1.0743181,-0.018783477,8501,9879,10268,18081,19324,14766,2,2078,4.415286820722286,8,2.7772164814814815,286.8999938964844,301.3999938964844
8,Freeman,F10,2021-08-03,39.67479697,-120.604832,-0.976488136,2.838444657,0.014870442,9071,10370,11138,18262,21050,16527,2,2075,5.54818452989256,8,2.7772164814814815,286.8999938964844,301.3999938964844
9,Freeman,F11,2021-08-03,39.67503116,-120.605011,-1.885365418,5.178818916,0.024942918,8874,10193,10877,18020,20636,15869,2,2077,4.8966157025923085,8,2.7772164814814815,286.8999938964844,301.3999938964844
10,Freeman,F12,2021-08-03,39.675262,-120.60519,-1.058565332,6.221434536,0.025829611,8631,9809,10044,18409,19145,14655,34,2079,3.8947536909041727,8,2.7772164814814815,286.8999938964844,301.3999938964844
11,Freeman,F13,2021-08-03,39.67540376,-120.604877,-1.644074876,6.937804252,-0.002167037,8676,9835,10289,17927,19748,14979,34,2075,3.726956954528809,8,2.7772164814814815,286.8999938964844,301.3999938964844
12,Bean,BE1,2018-04-13,37.75320814,-120.141147,0.106912903,1.342684905,0.008919468,28767,27732,27404,28413,20948,19538,55,965,4.380996278470539,8,5.222716122685185,271.5,285.3999938964844
13,Bean,BE1,2018-05-15,37.75320814,-120.141147,0.678397385,8.645824727,0.041227575,8406,9488,9842,12534,11753,10322,55,965,4.380996278470539,8,5.222932083333333,280.79998779296875,296.1000061035156
14,Bean,BE1,2018-06-18,37.75320814,-120.141147,0.262707495,7.752019899,0.126957174,8484,9562,9841,13203,12112,10578,55,965,4.380996278470539,8,7.223100439814814,281.5,296.0
15,Bean,BE1,2018-07-13,37.75320814,-120.141147,0.077456972,9.834291476,0.624069877,8898,10031,10173,16488,13947,11247,55,965,4.380996278470539,8,0.2228827199074074,290.1000061035156,306.29998779296875
16,Bean,BE1,2018-08-14,37.75320814,-120.141147,-0.358606207,7.504853632,0.110930432,8995,10186,10675,17076,13874,11081,55,965,4.380996278470539,8,0.22269615740740742,288.0,308.1000061035156
17,Bean,BE1,2018-09-09,37.75320814,-120.141147,-0.347918265,2.872262613,0.074634108,8593,9937,10565,16766,14827,12061,55,965,4.380996278470539,8,5.777443819444445,285.20001220703125,307.20001220703125
18,Bean,BE1,2018-10-13,37.75320814,-120.141147,-0.220719995,2.064831665,0.100998692,8329,9405,10140,14061,15020,12439,55,965,4.380996278470539,8,3.7776016319444445,277.6000061035156,298.70001220703125
19,Bean,BE1,2018-11-11,37.75320814,-120.141147,-0.342255111,0.791854622,-0.040031008,9041,9863,10714,14157,15827,12966,55,965,4.380996278470539,8,6.77766332175926,273.3999938964844,291.5
20,Bean,BE1,2018-12-02,37.75320814,-120.141147,0.019115946,1.081050961,-7.71e-05,9041,9863,10714,14157,15827,12966,55,965,4.380996278470539,8,14.22233667824074,271.29998779296875,276.8999938964844
