Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
East Creek,C25,2021-09-02,40.24583397,-120.894679,0.48,,0.3729144796050244,0.5308138888427874,0.5047590051677265,-0.30074997226440664,0.7075234574613412,-0.1386377046019417,0.20224525908681096,0.22013612964891052,0.19915703949790037,0.21213776703353857,11.0533363125,16.92209825,22.23422684375,54.526509875,52.78774709375,33.682362375,97.72977150386251,6.698482104786868,55.692425833476264,57.49710390848409,11.305953666603642,75.59767483386179,-112.9212663853354,794.7,1545.14794921875,318.1,18,0.6994689160171641,0,396,104,0,277.041259765625,290.1561584472656,29893.042404174805,16.41359519958496,19.533655166625977,53.45271682739258,52.56734085083008,3.377631884315464,1.0707683868133793,19,1.1639078427436311
East Creek,C26,2021-09-02,40.24564496,-120.894703,2.24,,0.3720930199433546,0.5275337185066417,0.5025606953845942,-0.2992010222872862,0.7058022593748118,-0.14217917374830974,0.20460330878613137,0.22307519735703218,0.20176608090673873,0.2129266978540854,10.8788050625,16.65474075,22.01814584375,52.605107125,51.80759509375,32.878314875,94.68126052732121,5.485426856650284,52.82149750054502,54.88700303417221,12.5244496259333,73.44730681958318,-111.11627003264422,794.3000000000001,1545.0615234375,318.20000000000005,17,0.8086164383619172,0,396,104,0,277.04248046875,290.1591491699219,29893.20053100586,16.894887924194336,18.558805465698242,51.56825637817383,52.79340362548828,3.4310630816561987,1.6690097898804683,19,1.1040572108785383
East Creek,C27,2021-09-02,40.24554798,-120.89491,53.6,,0.33959522278323023,0.45962493563208456,0.4491558069800385,-0.2635650918592397,0.6808795202268255,-0.13413806218723537,0.21759260933522134,0.23464799343781853,0.19062966482813126,0.2390271203313788,10.744493656249999,16.2918318125,21.055852406250004,50.348809093750006,49.691824468750006,31.180386125,94.34713176543298,8.531998058783365,51.47783914131135,53.37959801719687,10.096472279350994,74.9943714570837,-105.69331778095639,794.3000000000001,1545.0615234375,318.20000000000005,17,0.8086164383619172,0,396,106,0,277.04248046875,290.1591491699219,29893.20053100586,16.894887924194336,18.558805465698242,51.56825637817383,52.79340362548828,3.4310630816561987,1.6690097898804683,19,1.1040572108785383
East Creek,C28,2021-09-02,40.24548604,-120.895201,50.24,,0.35714688786692056,0.49258645962003283,0.47457564663985663,-0.2831843460418714,0.6952572951040495,-0.1283096293701194,0.21079453315950525,0.2298875650888874,0.19192082376895472,0.23242367534988329,10.0305886875,15.3912063125,20.2948880625,49.00790275,48.79747378125,30.669287812500002,94.30569540281284,10.755592244280333,50.31110853511077,52.343505025614306,7.768575124970305,74.97601194255998,-102.57449658160704,794.3000000000001,1544.571533203125,318.5,16,0.6504317171362172,0,396,108,1,277.0365295410156,290.16253662109375,29893.816802978516,17.255599975585938,17.49039077758789,48.77981948852539,52.59836959838867,3.481964036708806,2.898489314011079,19,1.0285751351819128
East Creek,C29,2021-09-02,40.24536802,-120.89554,0.0,,0.37402611331542557,0.5372628493195726,0.5083863465820616,-0.30363159909815624,0.7106844066592055,-0.13003102823369725,0.20801761953099654,0.22751590897791302,0.19488602251908696,0.22420986828762493,9.62000871875,15.19510296875,19.7653736875,51.22362675000001,47.4464914375,28.56844096875,97.82382688429803,16.122456866356167,54.552892010385946,56.1281334656012,1.9010388388625574,80.86951977712121,-100.60963653275402,794.4000000000001,1544.291015625,318.5,17,0.46047856956659466,0,396,108,2,277.0293273925781,290.1629333496094,29894.274673461914,17.0640811920166,17.57652473449707,49.36863327026367,52.83106231689453,3.501662861928951,2.6717319857956627,19,1.029536723486057
East Creek,C30,2021-09-02,40.24525998,-120.895828,0.0,,0.3648024718733517,0.5377420281027451,0.5101602598667144,-0.2949862156214644,0.7090346067589348,-0.11278550402468662,0.21541260031619278,0.23390163174380624,0.1815065791213928,0.23465822559421534,10.122104687499998,15.725002812499998,20.668516250000003,52.725888437500004,49.026370156249996,29.3493828125,96.67435669815814,13.739530846584623,54.92670737454344,56.484741865332026,4.696865153516873,79.41876442564885,-103.44323213709475,794.4000000000001,1544.1129150390625,318.70000000000005,18,0.35572105332610615,0,396,106,1,277.0220947265625,290.163330078125,29894.732711791992,17.084199905395508,18.557329177856445,51.01169967651367,52.4651985168457,3.4417605742218007,1.7852314547257677,19,1.1174491088114678
East Creek,C31,2021-09-02,40.24506703,-120.896094,4.48,,0.3702392414447992,0.5531907120647831,0.5216638501497143,-0.30163121584010244,0.7160823241579931,-0.10098936988135411,0.22546030476895576,0.24375070828347617,0.1715934936409175,0.2546653554554184,10.87520140625,16.59283296875,21.8720371875,54.0697521875,52.53481046875,31.74651203125,93.66482104631939,3.986753588066353,55.71771960652851,56.34204657665403,12.492981958880543,72.97175150030432,-109.4438971743568,794.2,1543.824951171875,318.70000000000005,19,0.37511207947495306,0,396,109,0,277.016357421875,290.16650390625,29895.35137939453,18.052377700805664,19.765655517578125,49.987186431884766,49.81562423706055,3.1628957451928894,1.4961507871343318,19,1.268428113505042
East Creek,C32,2021-09-02,40.244918,-120.896391,0.0,,0.35516535176645464,0.5283172836010734,0.5006046907310808,-0.28292757940247537,0.6963843576828533,-0.1184323391439775,0.2179895324145168,0.23471991761228325,0.18183947685093757,0.23402557904918064,10.71182390625,16.17279453125,21.23078015625,53.389391875,51.97790796875,31.53179203125,94.59244696178351,5.078156510279429,55.78223022941813,56.56833549389003,10.973378083834099,74.38916272709488,-109.98417077331322,794.2,1543.530517578125,318.70000000000005,21,0.37332549660409,0,396,109,0,277.0107116699219,290.1695556640625,29895.971130371094,16.682167053222656,17.37775993347168,50.624637603759766,54.13770294189453,3.5828040841449873,2.6012740419978884,19,1.0057203173719333
East Creek,C33,2021-09-02,40.24479595,-120.896664,52.16,,0.3278587645736658,0.522460116416479,0.4948140107798854,-0.2583777236633652,0.6824205064901859,-0.1274403131070478,0.21549277184717558,0.23123206109346015,0.18632723196155973,0.23292934698934828,11.079611874999998,16.5940975,21.713965,52.553176562500006,53.54082875,32.8209640625,91.80869840281386,-0.3075202068531824,53.796261130394186,54.67614588532918,15.534189242711328,70.69111621508006,-112.05521328836043,794.0,1543.530517578125,318.90000000000003,21,0.37332549660409,0,396,108,0,277.00360107421875,290.16986083984375,29896.430374145508,17.595699310302734,17.37775993347168,49.51396942138672,54.13770294189453,3.380361978326797,2.6012740419978884,19,1.1092426777316693
East Creek,C34,2021-09-02,40.24463997,-120.89697,12.32,,0.32297666624831334,0.502067444292517,0.4786352075710914,-0.249025444280269,0.6638735684450329,-0.12393050300459926,0.2052978158240185,0.2200930914470777,0.18362084595806158,0.2185765966803795,10.98021421875,16.73702296875,22.0198984375,51.6677859375,52.11743328125,32.977386875,89.18105257370689,1.5390384045088275,51.17353675495144,52.86662435520124,15.40639031782542,69.02854801708261,-108.82679081640296,793.9000000000001,1543.3262939453125,318.90000000000003,24,0.4319202011463583,0,396,108,0,277.00518798828125,290.1725158691406,29896.592529296875,17.186519622802734,18.50773811340332,50.74477767944336,52.370872497558594,3.437389737111555,1.8777775794437466,19,1.1190114171204337
