Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDWI_Sept,NDGI_June,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter,Active_growth_days,ModisNPP,LandsatNPP,ANPP
Coyote,Y8,2016-07-08,40.11126839,-120.4192016,1.76,,-0.1464839764466059,0.1898321947453131,0.1859183714970275,0.1592347470312227,0.1592583949363153,-0.2175629480901118,0.114349191016669,0.1414438386254814,0.1430192312983161,0.2231074991762029,0.0774044050641424,0.0467493874626903,13.1759678595691,17.775780377523294,20.733682822204976,41.03962045613355,54.860136861413054,40.90966664935948,74.81181656592449,-33.335147303287386,39.04368656090115,39.21061475593743,37.75427463533332,36.24084017484096,-116.2788603508418,21.943212266144343,838.8000000000001,1700.3729248046875,284.8,836,0.6833356067582991,0,645,86,0,276.64263916015625,287.9801940917969,29831.431274414062,17.790485382080078,22.593658447265625,43.39558410644531,37.5745849609375,2.707660874695164,1.378114244463033,19,1.1132623979181635,100,288.2,256.7,0.76208
Clover Valley,CV3,2016-11-05,39.96197512,-120.4131519,14.4,,-0.1760408538013791,0.1638949324960062,0.1614181137349827,0.1823749551969336,0.1025314069033548,-0.2322149316925763,0.0824199491423667,0.1172184258858831,0.1182992970545952,0.2288977480575598,0.0417259118384348,0.0291557815912911,11.880910430124224,16.385183869241715,19.461494376941,37.2471831557324,49.12653349424172,37.20411272528467,65.27514544846025,-29.62762876079743,33.770327363890146,34.23857381763122,35.108103221104486,31.137957606530364,-104.40356371482748,17.190031359287694,824.2,1671.8463134765625,306.5,271,0.3148202612109929,0,702,83,0,274.056884765625,289.0106506347656,29444.581771850582,19.548978805541992,27.51726722717285,50.86710739135742,42.335227966308594,1.4235308344166788,0.7621994160056462,19,0.9486243178261184,95,228.3,189.0,6.2352
Clover Valley,CV1,2016-11-05,39.9614702,-120.4134275,24.0,,-0.157626144059402,0.1742742635723486,0.1713460225944319,0.1701973748354952,0.1210117952614955,-0.2322619187437611,0.0912068881593489,0.1181770592488252,0.1204289369161102,0.2321507516265901,0.0446175303783222,0.0329664766331805,11.92064452820911,16.37161972437888,19.41112017792443,37.51620805680642,49.43508061341874,37.57970777400362,66.6438870407075,-29.466946322248035,34.48047174377626,34.90990529595966,35.002366664919066,31.58581891579456,-105.33294779585474,17.94573442692541,824.2,1671.58935546875,306.6,314,0.2446297853833629,0,702,64,0,274.0503845214844,289.0165100097656,29443.99449157715,19.608781814575195,23.74471092224121,48.68020248413086,45.704734802246094,1.9692848653362425,1.3237815676048337,19,1.0714688906200465,99,226.4,208.5,10.392
Lower Clarks,LC8,2016-07-27,40.12324277,-120.5041704,28.16,,-0.0807877934983383,0.2143206294822008,0.2136779823080659,0.1150081852195455,0.2234950112215111,-0.1815330439831764,0.1501939009581837,0.1488802464557732,0.1509964803132691,0.2012104321939193,0.1063082650426511,0.0476414548390219,12.73323833333333,17.91805870535714,21.324579709821432,44.42139110119048,54.57953417410715,40.129246837797616,81.2983313126916,-24.03999850492192,43.11838446168205,43.90552703499688,32.5241826863221,45.34247458775762,-116.18992363622476,25.03263384282238,825.4000000000001,1679.0323486328125,294.0,143,0.0553051872480742,0,687,83,0,276.0865783691406,287.9081420898437,29879.124298095703,16.763534545898438,22.725418090820312,48.71292495727539,48.20852279663086,3.4355630816216824,1.5990277156741926,5,0.7423375267695143,111,423.3,312.90000000000003,12.19328
Lower Dixie,LX6,2016-07-18,39.93969703,-120.339184,42.72,,0.0475325507507805,0.3041843816073968,0.2993725114444176,0.0087390985693036,0.3882081225438467,-0.0583771527620685,0.2537919149925444,0.2248041018952258,0.2257172928300075,0.107086180910195,0.2659064951092041,0.1316333374246779,8.860375207751034,13.799259205292444,16.171422590903212,45.17385634187371,42.21441272217908,27.00473465527951,88.76332551650927,5.429982235081171,51.85317386840015,52.43666277613414,7.80807196213102,68.2214292835238,-96.19929650267082,35.785278198220446,781.2,1790.745361328125,319.90000000000003,15,1.3220360540903446,0,745,130,0,273.687255859375,288.00885009765625,29294.352478027344,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,2.7327654231628404,2.7271191438849764,5,1.460079980466641,97,317.6,401.70000000000005,18.49776
Clover Valley,CV5,2016-11-05,39.96180673,-120.4136264,49.6,,-0.0520122638892433,0.2330249189308404,0.2280048966516961,0.089542435958281,0.2585713606456477,-0.1372639759051013,0.1570998323430504,0.1651091076798898,0.1672491805505045,0.1642698042687839,0.1611925630062178,0.0788825535646552,10.526904111348344,15.5340294688147,18.01526974637681,42.1605124073499,44.89540953558489,31.02762471512681,82.85003803891473,-7.834191951294463,44.70241651838229,45.44687248157321,19.20122151102532,56.612143857684586,-101.25735626502116,29.19423818276085,824.2,1671.6304931640625,306.5,298,0.307142516820215,0,702,85,0,274.0544128417969,289.01470947265625,29444.89973449707,21.85785865783692,25.80867385864257,46.60631942749024,42.664005279541016,1.6564076119336442,0.9934557787852252,19,1.1399053783138913,97,226.8,212.8,21.4768
Clover Valley,CV12,2016-11-05,39.96250327,-120.4139947,54.4,,-0.1224054016414745,0.1849790984724489,0.1811240114111507,0.1406245889809492,0.1653351821067561,-0.1936188618700502,0.1122781294815949,0.1314949054195936,0.1340935669972973,0.2033789812477623,0.0975620757741899,0.0541329821952055,10.871810703151088,15.365864947380285,17.84372642895754,37.062219027128,45.959938585610345,33.98099542797035,71.7463312212613,-23.92506557815683,36.63940605241725,37.27920303543248,30.608020641521065,38.77854196651557,-104.1687591631508,21.91990161248962,824.3000000000001,1672.45361328125,306.3,247,1.204713880614226,0,702,55,0,274.0599060058594,289.0151062011719,29447.02709960937,18.44751167297364,22.081993103027344,50.76823425292969,48.1868896484375,2.209984360025328,1.9891029811463985,19,1.0756036702230294,101,226.5,208.20000000000002,23.5552
Clover Valley,CV8,2016-11-05,39.96253445,-120.4134874,57.6,,0.0956121050826518,0.2955270840154252,0.2892064139818846,-0.0299812789328329,0.4101389221069049,0.0326529744340177,0.2541987879687582,0.2751369058222558,0.2741704544685562,0.0276933530824342,0.3695359057903256,0.2143705035271439,7.792339597500501,13.068342604133273,13.47412280393041,47.38273343817831,36.30403851964161,22.489648826625423,112.3866438412045,25.147555118128743,62.482501392823416,62.73038715446887,-9.144088276351937,92.5717424431476,-96.6917138715722,55.97480062410051,824.4000000000001,1672.09912109375,306.40000000000003,247,0.7689396713256834,0,702,76,0,274.0624389648437,289.0111083984375,29446.7103881836,19.4555721282959,21.717958450317383,48.31315994262695,45.92846298217773,2.147276594280277,2.0208988883030523,19,1.173760336772094,140,227.8,272.8,24.9408
Clover Valley,CV10,2016-11-05,39.96291071,-120.4135297,65.6,,-0.0921896332939474,0.212632019127788,0.2064190581472864,0.1146143024427566,0.2175905520987638,-0.1682735821121886,0.1452720039539499,0.1489347749178181,0.1508866036118811,0.1842980463623462,0.1318544890157641,0.0699899690218017,10.885705985539596,15.5904193742883,18.05712108889751,40.3698121082104,47.13631394921066,33.04980523660714,79.79475768294961,-17.247274393627144,42.200913373265394,42.66426235323237,25.76173648597257,49.50891179370882,-105.77434725784032,27.34176057297472,824.7,1672.5577392578125,306.1,230,0.9727064054350044,0,701,45,0,274.07049560546875,289.0074768066406,29448.520919799805,19.203819274902344,21.965030670166016,49.02433395385742,46.72086334228516,2.132783046281088,1.9348856638810497,19,1.1127049324864169,109,227.20000000000002,229.20000000000002,28.404799999999998
Lower Clarks,LC2,2016-07-27,40.12324898,-120.5032104,67.52,,0.0083308705488085,0.2694023893740487,0.2654530638246337,0.0406965487150722,0.3385001356219108,-0.0954854169254955,0.2162102161380686,0.1896599686421536,0.1950550949602119,0.1389301183244124,0.2172371346178315,0.1022220653203487,11.816205292658733,17.202275065438034,20.05231323450856,47.88009335031289,50.67043970753206,34.13104500686815,94.67195105413096,-8.144009771039242,51.31855074543576,52.18543275750524,20.65254153410815,65.72403422144086,-114.82426373918122,34.55092607016033,825.7,1679.85595703125,293.90000000000003,196,4.315828967361653,0,687,83,0,276.0939025878906,287.90509033203125,29878.79141235352,15.711237907409668,20.52119255065918,53.02638626098633,49.997833251953125,3.560212675913065,3.743784587551213,5,1.023240540352313,112,321.40000000000003,328.20000000000005,29.236159999999998
