ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
D13,Clover Valley,6/28/2019,39.95544474,-120.4263173,0.0,,6.468788535,0.0
D14,Clover Valley,6/28/2019,39.95047473,-120.4264405,0.0,,4.681782059,0.0
DHA,Deer,9/7/2019,39.42866637,-120.6508363,13.32247575,,5.54443652,28.48802663
LHA,Loney,8/22/2019,39.42058534,-120.6555018,14.55996173,,5.944541665,18.69627342
R25,Clover Valley,6/28/2019,39.94547401,-120.4271855,0.0,,5.261903248,0.0
R26,Clover Valley,6/28/2019,39.941533,-120.4275425,0.0,,1.835106978,0.0
CP11,Calf,8/3/2022,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455
CP2,Calf,8/3/2022,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316
CP20,Calf,8/3/2022,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594
WRS1,Wilson,8/2/2022,38.82695236,-120.255136,4.950168101,0.218463366,0.209893094,2.403092931
WRS13,Wilson,8/2/2022,38.8244408,-120.255348,4.267091899,0.334765539,0.134098365,2.200048405
WRS19,Wilson,8/2/2022,38.82451649,-120.256166,9.943069647,0.526585208,0.431446915,4.276475183
WRS21,Wilson,8/2/2022,38.82400034,-120.256334,8.852436517,0.700946455,1.288510379,5.257738028
WRS7,Wilson,8/2/2022,38.82636462,-120.255742,10.29484299,0.641457182,0.040812546,4.539572039
WRS9,Wilson,8/2/2022,38.82582675,-120.255657,9.971826054,0.500291457,1.014483285,1.84171833
WRSY,Wilson,8/2/2022,38.81993696,-120.257677,1.848819006,0.227731804,0.618018553,1.038915306
WRSZ,Wilson,8/2/2022,38.81940596,-120.257219,5.384629693,0.404013558,1.422608745,2.47587542
CH01,Childs,7/21/2023,40.341096,-121.488297,8.872959971,0.700172176,2.256350755,4.116292255
CH02,Childs,7/21/2023,40.341665,-121.488444,5.253506812,0.239593476,0.378973641,1.944527453
CH03,Childs,7/21/2023,40.341444,-121.488591,5.175052125,0.277707252,1.451760563,2.137904377
CH04,Childs,7/21/2023,40.340901,-121.487213,3.142165842,0.1943558,2.536208214,1.485530042
CH05,Childs,7/21/2023,40.340258,-121.486554,14.32546639,1.267876052,2.681967307,7.260146015
CH07,Childs,7/21/2023,40.340602,-121.4874,9.573636441,0.611380913,7.387070819,4.613378726
CH08,Childs,7/21/2023,40.340556,-121.485676,6.817928072,0.285084528,0.974448122,2.389122401
CH09,Childs,7/21/2023,40.340509,-121.485686,9.910978014,0.644729664,0.196288912,4.484190724
CH10,Childs,7/21/2023,40.340062,-121.485823,16.23858875,1.228434433,0.956179648,7.171199407
CH16,Childs,7/26/2023,40.320583,-121.472817,7.328408999,0.541932044,3.761750665,4.900360704
CH16B,Childs,7/26/2023,40.320326,-121.472511,12.27615207,0.961152888,1.215047797,6.862209032
CH21,Childs,7/26/2023,40.320671,-121.473366,4.977617235,0.158072137,1.113599468,2.37814021
CH23B,Childs,7/26/2023,40.32096,-121.473246,13.31202486,1.108239492,1.072786923,7.136688898
CH26,Childs,7/28/2023,40.319109,-121.467808,8.32695667,0.615588292,1.13109056,5.841796538
CH27,Childs,7/28/2023,40.318895,-121.467799,7.287283121,0.711183009,1.247697834,4.773124259
CH28,Childs,7/28/2023,40.319507,-121.469175,12.55287927,1.059767349,3.230021495,6.916081823
CH29,Childs,7/28/2023,40.319027,-121.469372,9.135405557,0.696781489,3.824718593,5.12052528
CH31,Childs,7/28/2023,40.319259,-121.470866,10.6440935,0.75264733,0.435333823,5.268859267
CH33,Childs,7/28/2023,40.319371,-121.47003,11.46148124,0.857595923,2.53037785,5.61702218
CH35,Childs,7/28/2023,40.3193,-121.470842,8.794475392,0.526282222,3.739595283,3.374822106
CH37,Childs,7/24/2023,40.34434,-121.480531,17.66213894,1.10353845,1.066956559,6.630807122
CH39,Childs,7/24/2023,40.343857,-121.481086,13.0792399,1.227779307,2.41143843,4.922912301
CH40,Childs,7/24/2023,40.344155,-121.480675,11.96729489,0.933638386,1.428439109,5.319119945
CH41,Childs,7/24/2023,40.34412,-121.481248,11.05981885,1.040946677,0.752116918,6.930697264
CH42,Childs,7/24/2023,40.344592,-121.480585,11.28305806,0.989843562,0.040812546,6.920096688
CH46,Childs,7/24/2023,40.344482,-121.480479,,,0.075794728,
CH49,Childs,7/24/2023,40.344366,-121.480368,12.6261314,0.836228159,2.716949488,5.246346617
CH50,Childs,7/24/2023,40.344696,-121.480195,14.90311351,1.180694219,0.373143277,6.166443716
A10,Alkali Flat,7/8/2016,40.09414684,-120.3433888,7.890251686,0.767969937,1.096108377,2.545078331
A12,Alkali Flat,7/8/2016,40.0937404,-120.3429252,16.89787466,1.647039699,3.52153968,3.341528816
A2,Alkali Flat,7/8/2016,40.09496072,-120.3445544,12.29394366,1.07403893,1.282680016,3.992258893
A3,Alkali Flat,7/8/2016,40.09507086,-120.3448771,13.85880977,1.079776448,2.68779767,5.830496018
A4,Alkali Flat,7/8/2016,40.0953105,-120.3446953,15.69134828,1.18157852,6.244319532,6.484964534
A6,Alkali Flat,7/8/2016,40.09508595,-120.3440463,9.86958903,0.954303892,11.15348578,3.689209232
A8,Alkali Flat,7/8/2016,40.09377879,-120.3434385,10.61331012,0.773036736,5.066586063,4.270035471
A9,Alkali Flat,7/8/2016,40.09397417,-120.3436658,8.970592926,0.718835257,1.375965836,3.149222428
F1,Big Flat,8/2/2017,40.1495622,-120.45974,15.33807677,1.084178777,5.748738617,7.314677914
F11,Big Flat,8/2/2017,40.14825848,-120.4612667,13.05454009,0.995118219,11.67238814,6.720418624
F12,Big Flat,8/2/2017,40.14845227,-120.4610242,13.75530921,0.996136717,6.967284633,7.042700678
F2,Big Flat,8/2/2017,40.14931435,-120.4599129,14.46804084,1.088486382,9.503492846,6.704453258
F4,Big Flat,8/2/2017,40.14893163,-120.4597987,7.049353631,0.472454035,3.265003677,6.164761664
F5,Big Flat,8/2/2017,40.14916884,-120.4596047,10.69430278,0.794952038,8.745545564,4.44421177
F8,Big Flat,8/2/2017,40.14846073,-120.4615125,10.39102751,0.842214437,6.384248261,3.749124761
F9,Big Flat,8/2/2017,40.14824959,-120.4617603,6.850823778,0.456503388,7.177177726,3.438585188
CV1,Clover Valley,6/20/2016,39.9614702,-120.4134275,8.407014805,0.577489629,0.816250919,2.777181493
CV10,Clover Valley,6/20/2016,39.96291071,-120.4135297,6.898781024,0.492419629,2.390449121,2.109168327
