ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue_June,Green_June,Red_June,NIR_June,SWIR_1_June,SWIR_2_June,Blue_Sept,Green_Sept,Red_Sept,NIR_Sept,SWIR_1_Sept,SWIR_2_Sept,Elevation,Flow,Slope,MAP_30year,MAT_30_year,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology
D13,Clover Valley,2019-06-28,39.95544474,-120.4263173,0.0,,6.468788535,0.0,0.0434859821428571,0.0726074999999999,0.0730504464285714,0.3001051785714286,0.2293791071428571,0.1323001785714285,0.0669762096774193,0.0987245161290322,0.1352045967741935,0.2564441129032258,0.3347392741935485,0.2099584677419355,1669.8040771484375,416,0.6561144351867726,619.3666666666667,7.6369623655913985,0.6084719536061051,0.1335753927676257,0.4019342246775857,0.3900588720530613,-0.0637156150455149,0.5034368956993535,0.3095618934347848,-0.1324380268444621,0.1936300296416732,0.2039584336519047,0.1846863641926643,0.2081022447287362,22.65144157409668,23.74720764160156,43.72118377685547,43.16845703125,0.3073055744171142,0.1392419040203094,19
D14,Clover Valley,2019-06-28,39.95047473,-120.4264405,0.0,,4.681782059,0.0,0.045015546875,0.07124796875,0.077523984375,0.27292609375,0.23110203125,0.1383307812499999,0.0614602419354838,0.0933975,0.1305987903225806,0.247860564516129,0.3184104838709677,0.2020091935483871,1667.874267578125,1,0.4027119841065078,622.5666666666667,7.622043010752688,0.5575747348108826,0.0829796204328875,0.3488193709141126,0.3446447611701193,-0.0148677080712302,0.4470966397903156,0.3098398089367418,-0.1245868379741207,0.1866629461921667,0.2002285709879172,0.1842053629510429,0.2094301038386701,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,0.4366023540496826,0.4357041120529175,19
DHA,Deer,2019-09-07,39.42866637,-120.6508363,13.32247575,,5.54443652,28.48802663,0.0247786046511627,0.046981976744186,0.0365006395348837,0.3433232558139534,0.1427638372093023,0.068168488372093,0.0257817073170731,0.0493445121951219,0.0632970731707316,0.2814009146341463,0.2516325,0.1331443902439024,1879.688232421875,2,1.1740039397830635,1468.0,8.125940860215055,0.8078023000561305,0.4125997614074804,0.5572564286265181,0.5230977776934879,-0.3449926875001126,0.7438298386650574,0.6327389459171312,0.0558471829661528,0.371475657641907,0.3873050095044072,0.0124526593117075,0.4990827025896513,5.959453582763672,6.044111251831055,73.17566680908203,72.10465240478516,0.7026083469390869,0.8055469393730164,11
LHA,Loney,2019-08-22,39.42058534,-120.6555018,14.55996173,,5.944541665,18.69627342,0.0270601219512194,0.0531341463414634,0.0445172560975609,0.3145310365853659,0.1643783536585366,0.0820695121951219,0.0397564024390243,0.0702988414634146,0.0903637804878048,0.2853870731707317,0.2763295121951219,0.152945731707317,1818.39501953125,27,0.306176698390414,1483.4333333333334,8.267069892473119,0.7520263596581207,0.3135304631432648,0.4896224358936936,0.4714760208262236,-0.2410512957323912,0.6749472009233778,0.5190228865325592,0.0161247882145237,0.3187912067911841,0.3340389995651119,0.060057254799723,0.4153054043700439,6.777883529663086,7.68231725692749,74.27616119384766,72.03763580322266,1.038243532180786,1.0427680015563965,11
R25,Clover Valley,2019-06-28,39.94547401,-120.4271855,0.0,,5.261903248,0.0,0.0433696774193548,0.0704456451612903,0.0741696774193548,0.2800346774193548,0.229985564516129,0.1381719354838709,0.0693216666666666,0.1038933333333333,0.1437141666666667,0.25861,0.3360408333333334,0.2208241666666666,1667.086669921875,265,0.1375313767130378,626.6666666666666,7.599596774193549,0.5812040343031428,0.0981316206456701,0.3676738063822695,0.361503073884828,-0.0306729639737339,0.4647492436257847,0.2855802431289859,-0.1302122674230396,0.1794145678252781,0.1909998162153475,0.1879730588594587,0.1855976090914307,21.757305145263672,19.994632720947266,41.32284164428711,44.28264999389648,0.4366023540496826,0.4357041120529175,19
R26,Clover Valley,2019-06-28,39.941533,-120.4275425,0.0,,1.835106978,0.0,0.0397474264705882,0.0660325735294117,0.0649552205882352,0.2647443382352941,0.2017725735294118,0.1175918382352941,0.0545462096774193,0.0831790322580645,0.1137439516129032,0.2404923387096774,0.2912094354838709,0.1825995161290322,1665.5596923828125,187,0.3900319451947656,629.3333333333334,7.581317204301076,0.6059732635371687,0.1349828122364897,0.3682422994138524,0.361195414995187,-0.0661111301335918,0.5005644470162977,0.3578074594823484,-0.0953863598652045,0.2093133298076654,0.2225643920763027,0.157023007177502,0.2508289386056637,26.720718383789062,26.616914749145508,38.304141998291016,36.75196838378906,0.2248988598585128,-0.0464675165712833,19
CP11,Calf,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,0.0381454166666666,0.0603104166666667,0.0578835416666667,0.2541166666666666,0.2304758333333333,0.1378260416666666,0.0424113999999999,0.0606438999999999,0.0764915999999999,0.2152786,0.2626336,0.1571347999999999,2024.6436767578125,58,2.5011839711788606,1166.8666666666666,6.587096774193549,0.6289519037447222,0.0487849756926352,0.3729739477072483,0.3624995221419534,-0.0067216054062762,0.4639114784336971,0.4756722927838416,-0.0990872381998199,0.255848812960465,0.2629304563369524,0.1364496078518108,0.3156699139218218,5.544496536254883,5.917115211486816,74.01593017578125,72.45289611816406,0.9934448599815368,0.9581543803215028,5
CP2,Calf,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,0.0454581249999999,0.0689775,0.0715006249999999,0.2796779166666666,0.2467925,0.1459270833333333,0.0440075,0.0650610416666667,0.0763933333333333,0.2512601041666666,0.2236695833333333,0.129759375,2023.5753173828125,51,2.159868774561712,1168.0666666666666,6.6309139784946245,0.592796161971267,0.0624639402815446,0.3805116828869644,0.3668630283942092,-0.0106350737908212,0.4569358840725068,0.5336942965334627,0.0580939064444847,0.3168877799769599,0.316920276489518,0.0080548742793962,0.4311331250457816,5.279732704162598,5.612524509429932,77.4543685913086,74.22824096679688,1.3127716779708862,1.1418567895889282,5
CP20,Calf,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,0.0352533333333333,0.0548974999999999,0.0554383333333333,0.2422091666666667,0.1742727083333333,0.1002449999999999,0.0341556249999999,0.0494926041666666,0.0518346874999999,0.2270429166666667,0.1446471875,0.0784042708333332,2023.2607421875,48,1.763445990341192,1169.0,6.631048387096775,0.6274900119548573,0.1631198436506592,0.3563134369076016,0.3512281427572957,-0.0941521085197252,0.5263883889639113,0.6282620997488073,0.2216785656734091,0.3417006708469836,0.3374244455663699,-0.1414014327683163,0.5627511915482042,4.940345287322998,5.536168098449707,78.02349853515625,75.533203125,1.0256893634796145,0.9660375118255616,5
WRS1,Wilson,2022-08-02,38.82695236,-120.255136,4.950168101,0.218463366,0.209893094,2.403092931,0.042935,0.0694465277777777,0.0671640277777777,0.2729755555555555,0.2276769444444444,0.1394156944444444,0.0379409999999999,0.0587629,0.0626085,0.2512629,0.2106883,0.1218336,2022.0740966796875,13,2.149793563416875,1133.8333333333333,7.143413978494623,0.6050796139656719,0.0904791469354714,0.3800213265329151,0.3674595243349939,-0.0344977988184411,0.4678854792049831,0.601056356201935,0.0878330871312814,0.3513493137887971,0.3476981744290315,-0.0282792536969287,0.4783194882068285,5.41278600692749,5.539203643798828,77.20133972167969,75.1825180053711,1.2612473964691162,1.0440000295639038,11
WRS13,Wilson,2022-08-02,38.8244408,-120.255348,4.267091899,0.334765539,0.134098365,2.200048405,0.0462986842105263,0.0739521052631578,0.0717390789473684,0.2964401315789473,0.2340932894736842,0.1411678947368421,0.0474669999999999,0.0738405999999999,0.0834314999999999,0.2886882,0.2629151999999999,0.1521199,2020.82080078125,100,1.6557174114610294,1134.7333333333333,7.168145161290323,0.610303477782916,0.1175172753142689,0.4071749744545228,0.3882281156479638,-0.0569042354438632,0.4869295045814055,0.5515878358495936,0.0467237874168289,0.3580205176300119,0.3530307250254753,0.0149325591621063,0.4350367217892087,5.033294677734375,5.367592811584473,78.2504653930664,77.1982192993164,1.116382718086243,0.9245217442512512,11
WRS19,Wilson,2022-08-02,38.82451649,-120.256166,9.943069647,0.526585208,0.431446915,4.276475183,0.0447423611111111,0.0706427777777777,0.0663191666666667,0.2785733333333334,0.2300648611111111,0.1332633333333333,0.0438524,0.0692150999999999,0.0784341999999999,0.2690543,0.2650701,0.1504083,2019.3048095703125,101,1.4724283085303849,1135.4666666666667,7.187231182795699,0.6154212302867318,0.0953693072051052,0.3957247034414634,0.3768304843515595,-0.043459220168908,0.4883123881722154,0.5485652043161143,0.0074593109769934,0.3377952694510397,0.3373852860540292,0.0466134784456687,0.419223309607302,5.176973342895508,5.92710018157959,77.84394073486328,74.52568817138672,1.2065386772155762,1.0464777946472168,11
WRS21,Wilson,2022-08-02,38.82400034,-120.256334,8.852436517,0.700946455,1.288510379,5.257738028,0.0464733333333333,0.0762879166666666,0.0767645833333333,0.2906320833333333,0.2698191666666666,0.1699391666666667,0.0436324,0.0685396999999999,0.0825955,0.2659897,0.2759513,0.1691842,2018.6080322265625,120,1.0299518682289692,1135.9,7.203225806451613,0.5821160598444916,0.0371359982989897,0.3811793998764856,0.3698437662123059,0.0138635125367643,0.4232944216502965,0.526110115977385,-0.018381336713775,0.3196536309164546,0.3241764056219693,0.0732220550821805,0.3757463105011875,5.421602249145508,5.751870632171631,76.84644317626953,73.50641632080078,1.3314064741134644,1.2490479946136477,11
WRS7,Wilson,2022-08-02,38.82636462,-120.255742,10.29484299,0.641457182,0.040812546,4.539572039,0.0483754166666666,0.0749847222222222,0.0773802777777777,0.2677734722222222,0.2652648611111111,0.1705563888888888,0.0421297999999999,0.0657621999999999,0.0733191999999999,0.2578288,0.2579156999999999,0.1575231,2021.481201171875,32,1.0386480311203994,1134.7333333333333,7.1567204301075265,0.5516185017385572,0.0047062489772989,0.3476258034353926,0.3379146003513169,0.0402193233132003,0.3868839214019529,0.5571816831144988,-0.0001684942835065,0.3338282297964822,0.3329905143247653,0.0495510489255671,0.4004910340073919,5.375238418579102,5.723019599914551,77.9561538696289,75.03499603271484,1.0916986465454102,1.0634149312973022,11
WRS9,Wilson,2022-08-02,38.82582675,-120.255657,9.971826054,0.500291457,1.014483285,1.84171833,0.0512369444444444,0.0804755555555555,0.0813418055555555,0.2945798611111111,0.2789308333333333,0.1728938888888889,0.0448875,0.0699697,0.0786982,0.2803117,0.2710717,0.1559765,2020.584228515625,52,1.069828467850919,1134.4666666666667,7.15725806451613,0.5672406633178604,0.0272863748302668,0.3812305661836846,0.3651663105338567,0.0204730908344158,0.4155531818119629,0.5615820065129123,0.01675784943834,0.3559950945183147,0.3520567690779816,0.036402703471907,0.4264778120765018,5.198947906494141,5.754922389984131,78.35539245605469,73.39071655273438,1.0612517595291138,1.2732807397842407,11
WRSY,Wilson,2022-08-02,38.81993696,-120.257677,1.848819006,0.227731804,0.618018553,1.038915306,0.0633790789473683,0.0906257894736842,0.106297894736842,0.2345911842105263,0.325388947368421,0.2268911842105263,0.0537221739130435,0.0788236956521739,0.0996364130434782,0.2290609782608695,0.3054320652173912,0.1960286956521739,2014.4896240234373,70,1.272302385614011,1137.5666666666666,7.252956989247313,0.3763490748070931,-0.162144615563193,0.2295813046602111,0.2288529355755508,0.1832594762428061,0.1909689503309288,0.3937499007941757,-0.1428850906263064,0.2272259731928518,0.2342674779276434,0.1777786381194755,0.234464072347752,5.050045490264893,5.454099178314209,78.40441131591797,75.92364501953125,1.0949585437774658,1.0551952123641968,11
WRSZ,Wilson,2022-08-02,38.81940596,-120.257219,5.384629693,0.404013558,1.422608745,2.47587542,0.0357748684210526,0.058583947368421,0.0580194736842105,0.2238531578947368,0.181176052631579,0.1102231578947368,0.0335945652173912,0.0519286956521738,0.0546296739130434,0.2161539130434783,0.1714891304347826,0.0971315217391304,2015.8221435546875,47,3.241340728465472,1137.0,7.249193548387097,0.588328435015442,0.1053679689119237,0.318015964081649,0.3181471204759424,-0.0409613778102636,0.4686491518961283,0.5965067563580576,0.1152214217696917,0.3125535024001467,0.3143377243570173,-0.0496560170800271,0.4933717536660233,4.696903705596924,5.486008167266846,79.61076354980469,76.21774291992188,0.9802376627922058,0.8967158794403076,11
CH01,Childs,2023-07-21,40.341096,-121.488297,8.872959971,0.700172176,2.256350755,4.116292255,0.0273865,0.0558984999999999,0.0429707499999999,0.3250355,0.156778125,0.0768988749999999,0.0486632499999999,0.0725305,0.092502375,0.248272,0.30107475,0.190625125,1480.9114990234375,11,1.592519997231248,1213.1666666666667,7.745564516129033,0.7664672814660077,0.3492167225449467,0.5119286477205802,0.4874355743406224,-0.2764961570999196,0.6976030830327762,0.4571048659395236,-0.0961191633517446,0.2707507803201582,0.2779038520292676,0.1399567603694286,0.2932571652827762,18.69257926940918,22.53919792175293,44.797393798828125,43.05542755126953,0.3443029224872589,0.1744528859853744,5
CH02,Childs,2023-07-21,40.341665,-121.488444,5.253506812,0.239593476,0.378973641,1.944527453,0.03492425,0.06447575,0.05787025,0.299896375,0.19868675,0.114941,0.0509375,0.0719011842105263,0.0902798684210526,0.2336503947368421,0.2860943421052632,0.1922556578947368,1480.5562744140625,11,1.3752887452442957,1213.0333333333333,7.745698924731183,0.6764916235548801,0.2029944856236359,0.4368115996696472,0.4232377163194009,-0.1323412007682907,0.56653851566801,0.4425968877316837,-0.1009032774185708,0.2572502252913206,0.2610121257707363,0.1388677430348741,0.2670859082708815,14.032041549682615,12.585317611694336,51.15238571166992,42.89255142211914,0.5316224098205566,0.8963763117790222,5
CH03,Childs,2023-07-21,40.341444,-121.488591,5.175052125,0.277707252,1.451760563,2.137904377,0.032491875,0.0648139999999999,0.0550638749999999,0.339779625,0.18762625,0.099657875,0.056353625,0.08205925,0.10977925,0.2427059999999999,0.336556625,0.2259928749999999,1481.522705078125,11,1.717151277054653,1213.2333333333333,7.745698924731183,0.7210850628160271,0.2884938947636865,0.498985238118418,0.4772606886008559,-0.2107145710108333,0.6396064312907009,0.377112943023857,-0.162017401001834,0.2247313772648298,0.2338927565022385,0.1975813511082371,0.2026483028578083,11.506514549255373,11.540425300598145,54.15546417236328,52.483436584472656,0.6793800592422485,0.5970792770385742,5
CH04,Childs,2023-07-21,40.340901,-121.487213,3.142165842,0.1943558,2.536208214,1.485530042,0.0268147619047618,0.0593328571428571,0.0450695238095238,0.3573267857142857,0.1549791666666666,0.0744735714285714,0.0587252380952381,0.0856660714285714,0.1111873809523809,0.2521392857142857,0.3375791666666666,0.220695,1479.476318359375,13,0.7080079051843522,1212.3666666666666,7.742338709677419,0.7759943481447009,0.3949741714052011,0.5471926119095415,0.5190467734783932,-0.3151248431385894,0.720671593822708,0.3879481405949782,-0.1448824953796554,0.238283726679914,0.2448990229378495,0.1815381558184336,0.2254344926902433,13.776456832885742,15.325393676757812,52.18431091308594,50.5522689819336,0.5681896209716797,0.5762256979942322,5
