ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,Days_of_data_acquisition_offset
D13,Clover Valley,2019-06-28,39.95544474,-120.4263173,0.0,,6.468788535,0.0,0.0286349999999999,0.0577024999999999,0.0438699999999999,0.3418874999999999,0.1774375,0.0881175,0.7725514085921854,0.3166610504019639,0.5358696942125875,0.5046824328329141,-0.252124765557677,-0.5092072807689038,0.6873900614570027,273.6579895019531,302.5614318847656,5.925003249425935,7.793195805789834,2
D14,Clover Valley,2019-06-28,39.95047473,-120.4264405,0.0,,4.681782059,0.0,0.0386449999999999,0.0590224999999999,0.0592975,0.281415,0.1967425,0.10019,0.6519206075503541,0.1770807735944747,0.4121338912133891,0.3963022436326331,-0.1111265405311578,-0.5384630422458117,0.5690600526560529,273.6188049316406,302.6954650878906,4.767927485281039,4.7458155908765125,1
DHA,Deer,2019-09-07,39.42866637,-120.6508363,13.32247575,,5.54443652,28.48802663,0.012245,0.03419,0.0299274999999999,0.3251949999999999,0.17169,0.08171,0.8314525269449274,0.3089346629501795,0.5224410751474338,0.5179389502673593,-0.2519629167574887,-0.6678647755974354,0.721032804913804,272.3036804199219,300.29119873046875,9.511406844106464,10.866093058224042,2
LHA,Loney,2019-08-22,39.42058534,-120.6555018,14.55996173,,5.944541665,18.69627342,0.0169475,0.0444475,0.0394424999999999,0.3339399999999999,0.1719649999999999,0.0802525,0.7887287165306355,0.3201688063964578,0.5100446747506692,0.5057878420966758,-0.2480548466552255,-0.5892335239415468,0.7066537469185916,281.0863342285156,303.3504943847656,7.513133472073794,8.466501869810484,2
R25,Clover Valley,2019-06-28,39.94547401,-120.4271855,0.0,,5.261903248,0.0,0.0297624999999999,0.0591324999999999,0.0552825,0.309575,0.2089524999999999,0.115865,0.6969638831598637,0.1940543172734329,0.4483133102558881,0.4410423104384247,-0.124429956633213,-0.5588526027192869,0.5814257377390017,273.58447265625,302.8397216796875,5.2352767090855306,5.599873377651154,2
R26,Clover Valley,2019-06-28,39.941533,-120.4275425,0.0,,1.835106978,0.0,0.0305324999999999,0.0553374999999999,0.0430174999999999,0.3088599999999999,0.171085,0.084955,0.7554972966444289,0.2870641427663586,0.4967268541831522,0.4680998735146778,-0.2263615750819791,-0.5112014044540627,0.6680258148138147,273.5625305175781,302.9479064941406,5.581386943754237,7.179868658104262,1
CP11,Calf,2022-08-03,38.938662,-120.291207,10.1390995,1.028584822,0.816250919,3.678366455,0.0256099999999999,0.0504149999999999,0.04013,0.2777575,0.1879425,0.0968625,0.7475207424010066,0.1928602104359029,0.4478594381673059,0.4358071861961455,-0.141681092879723,-0.5769799565778296,0.6202867844753008,284.16259765625,300.7082824707031,5.509421799067739,6.92144281086469,2
CP2,Calf,2022-08-03,38.93819798,-120.292089,4.766412229,0.570675008,3.165887494,2.256850316,0.0365274999999999,0.0590224999999999,0.060205,0.2917825,0.2347199999999999,0.1383325,0.6579139884228843,0.1083803020878343,0.4198115559100652,0.4077128478997638,-0.0535672739817243,-0.5981344204532882,0.5104036715674043,284.2049560546875,300.7425842285156,4.943580837816089,4.846482850261605,10
CP20,Calf,2022-08-03,38.93820301,-120.292458,11.0476462,0.879324416,2.174725663,5.770869594,0.0405149999999999,0.065155,0.0695,0.2933775,0.246215,0.1477649999999999,0.6169506238331117,0.0874039205511566,0.3979294568490204,0.389181836355682,-0.0279822816085097,-0.581494684780165,0.4768038687778763,284.23974609375,300.7709655761719,4.5027626429284,4.221258992805756,10
WRS1,Wilson,2022-08-02,38.82695236,-120.255136,4.950168101,0.218463366,0.209893094,2.403092931,0.0257749999999999,0.052945,0.0425224999999999,0.2675,0.1762,0.0877875,0.7256812005580241,0.205769664187514,0.423105566933532,0.4166134274047943,-0.1456110625540163,-0.5378908551353946,0.6215113637637976,285.26593017578125,301.311767578125,5.052412881291905,6.290787230289848,3
