ID,Burn_year,Sides
2,2009,At least 1 side
4,2021,All sides
5,2021,All sides
6,2021,At least 1 side
7,2021,All sides
8,2021,All sides
9,2021,All sides
10,2021,All sides
11,1987,At least 1 side
12,2019,At least 1 side
12,2021,At least 1 side
13,2019,All sides
14,2007,At least 1 side
14,2019,At least 1 side
14,2021,At least 1 side
15,2007,All sides
16,2007,All sides
17,2019,All sides
18,2019,All sides
19,2019,All sides
20,2019,All sides
21,2007,All sides
24,2014,At least 1 side
25,2014,At least 1 side
28,2008,All sides
32,2000,All sides
33,2012,All sides
34,2021,All sides
35,2021,All sides
36,2021,All sides
37,2021,All sides
38,2021,All sides
39,2021,All sides
42,2015,At least 1 side
44,2009,At least 1 side
55,1992,All sides
68,2014,At least 1 side
69,2021,At least 1 side
70,2021,All sides
71,2021,All sides
72,2021,At least 1 side
75,2021,All sides
76,2021,All sides
77,2012,All sides
78,2021,All sides
79,2000,All sides
80,2021,All sides
81,2021,All sides
82,2000,All sides
83,2000,All sides
84,2000,All sides
85,2000,All sides
86,2021,All sides
87,2021,All sides
88,2021,All sides
89,2021,All sides
92,2021,All sides
93,2021,All sides
94,2021,All sides
95,2021,All sides
96,2021,All sides
97,2021,All sides
98,2021,All sides
99,2021,All sides
100,2021,All sides
101,2021,All sides
102,2021,All sides
103,2021,All sides
104,2021,All sides
105,2021,All sides
106,2021,All sides
107,2021,All sides
108,2021,All sides
109,2021,All sides
110,2021,All sides
111,2021,All sides
112,2021,All sides
113,2021,All sides
114,2000,All sides
115,2000,All sides
116,2012,All sides
117,2000,All sides
118,2021,All sides
119,2021,All sides
120,2021,All sides
121,2021,All sides
122,2021,All sides
128,1987,At least 1 side
129,1987,All sides
130,1987,All sides
131,1987,All sides
170,1992,At least 1 side
172,2021,At least 1 side
173,2021,All sides
175,1992,All sides
176,2014,All sides
183,2021,All sides
187,1987,All sides
188,2021,All sides
190,2014,All sides
191,2014,All sides
192,2014,All sides
193,2014,All sides
194,2014,All sides
195,2014,All sides
219,2008,All sides
220,2008,All sides
221,2008,All sides
222,1984,All sides
223,1984,All sides
224,1987,All sides
225,2016,All sides
227,1990,All sides
228,2016,All sides
231,1990,All sides
232,1990,All sides
233,2021,At least 1 side
234,1990,All sides
236,1990,All sides
237,1990,All sides
238,2021,All sides
239,2021,All sides
240,2021,All sides
242,2021,All sides
243,2021,All sides
244,2021,All sides
245,2000,All sides
246,2021,All sides
247,2021,All sides
248,2002,All sides
249,2002,All sides
250,2021,All sides
252,2021,All sides
253,2021,All sides
254,2021,All sides
256,2021,All sides
257,2021,All sides
258,2021,All sides
260,2021,All sides
261,2021,All sides
262,2002,All sides
264,2016,All sides
265,2021,All sides
266,2002,All sides
267,2016,All sides
269,2002,All sides
271,2021,All sides
272,2002,All sides
273,2021,All sides
274,2016,All sides
275,2002,At least 1 side
276,2016,All sides
277,2021,All sides
278,2021,All sides
279,2021,All sides
280,2016,All sides
282,2002,At least 1 side
285,2021,All sides
286,2021,All sides
288,2021,All sides
289,2021,All sides
293,2021,All sides
295,2021,All sides
296,2021,All sides
297,2021,All sides
298,2002,All sides
301,2021,All sides
302,2021,All sides
303,2002,All sides
304,2002,All sides
305,2002,All sides
306,2002,All sides
307,2021,All sides
309,2002,All sides
310,2021,All sides
311,2002,All sides
312,2021,All sides
314,2002,At least 1 side
316,2002,All sides
317,2021,All sides
318,2002,All sides
319,2021,All sides
320,2002,All sides
321,2002,All sides
322,2021,All sides
323,2021,All sides
324,2021,All sides
325,2002,All sides
326,2021,All sides
328,2021,All sides
329,2002,All sides
330,2021,All sides
331,2002,All sides
332,2002,At least 1 side
333,2002,All sides
334,2002,All sides
336,2017,At least 1 side
338,2021,All sides
339,2000,At least 1 side
340,2002,All sides
341,2021,All sides
344,2002,All sides
345,2002,All sides
346,2016,All sides
347,2021,All sides
348,2016,At least 1 side
348,2021,At least 1 side
349,2016,All sides
350,2021,All sides
351,2021,All sides
352,2020,All sides
353,2020,At least 1 side
353,2021,At least 1 side
354,2020,All sides
356,2020,At least 1 side
357,2002,All sides
359,2020,All sides
360,2020,All sides
361,2003,All sides
362,2020,All sides
364,2003,At least 1 side
364,2003,At least 1 side
365,2020,All sides
366,2020,All sides
367,2020,All sides
369,2005,At least 1 side
370,2020,All sides
372,2002,All sides
373,2003,At least 1 side
373,2003,At least 1 side
375,2020,All sides
376,2020,All sides
378,2020,All sides
379,2020,All sides
380,2020,All sides
384,2020,All sides
385,2020,All sides
387,2020,All sides
388,2020,All sides
389,2009,All sides
390,2020,All sides
393,2020,All sides
394,2020,At least 1 side
394,2009,At least 1 side
396,2020,All sides
398,2020,All sides
399,2020,All sides
401,2020,All sides
402,2020,All sides
403,2020,All sides
404,2020,All sides
406,2009,All sides
408,2020,All sides
409,2009,All sides
410,2009,All sides
412,2020,All sides
413,2020,All sides
414,2009,All sides
415,2020,All sides
416,2020,All sides
417,2020,All sides
418,2020,All sides
420,2020,All sides
421,2020,All sides
422,2020,All sides
424,2020,All sides
425,2020,All sides
426,2020,All sides
427,2020,All sides
428,2020,All sides
429,2020,All sides
430,2009,All sides
432,2002,All sides
435,2020,All sides
436,2020,All sides
437,2009,All sides
438,2020,All sides
439,2020,All sides
440,2020,All sides
441,2020,All sides
442,2020,All sides
443,2020,All sides
444,2020,All sides
445,2020,All sides
446,2020,All sides
447,2020,All sides
448,2020,All sides
449,2020,All sides
450,2020,All sides
451,2020,All sides
452,2020,All sides
453,2020,All sides
454,2020,All sides
455,2020,All sides
456,2020,All sides
457,2020,All sides
458,2020,All sides
459,2020,All sides
460,2020,All sides
461,2020,All sides
462,2017,All sides
463,2020,At least 1 side
463,2017,At least 1 side
464,2017,All sides
465,2020,All sides
466,2020,All sides
467,2020,All sides
468,2020,All sides
469,2020,All sides
470,2020,All sides
471,2020,All sides
472,2020,All sides
473,2020,All sides
474,2015,At least 1 side
474,2016,At least 1 side
475,2020,All sides
476,2020,All sides
477,2020,All sides
478,2020,All sides
479,2011,All sides
480,2020,All sides
481,2017,All sides
482,2017,All sides
483,2015,All sides
