ID,longitude,latitude,flow_accumulation,QA_PIXEL_mean,QA_PIXEL_variance,B1_mean,B1_variance,B2_mean,B2_variance,B3_mean,B3_variance,B4_mean,B4_variance,B5_mean,B5_variance,B6_mean,B6_variance,B7_mean,B7_variance,meadow_pred
7.0,-121.37814469813476,40.0949307205145,2.2786826915474028,22588.08190883191,10084706.23076923,9500.626483855642,5674978.136257519,9990.755668328578,6296988.914515072,11101.274275878435,7391856.95453466,11559.558820037988,8145813.229245802,15689.800787432729,4902045.072422047,15668.866621161753,6549316.190235237,14089.391164134213,8038279.496349711,0.5856530286173228
8.0,-121.36456553405787,40.08978062151491,8.741601093153657,25711.189544021447,61986198.77643403,10452.44987294715,9026637.204431554,10834.430685614794,9442866.859312505,12454.286080655029,13667885.379805654,12879.70031998494,15720050.365794549,17138.906486753564,8147706.800956425,18080.274881182064,17995481.507976092,16161.586113594643,18655299.33258435,0.5820418152525385
23.0,-121.95941233763982,41.65232329837557,1986.947548231511,26995.622657076317,108544991.96110278,11060.15879345603,14686442.303638654,11380.69898103095,13704894.56750579,12629.357298497987,13169219.749418195,12819.513719060713,14400685.98286908,18585.03874903037,5024026.885245522,16881.256216063735,7925733.966271757,14783.706367675044,11747461.666330488,0.5843241841984602
24.0,-121.98187060398531,41.69016507961239,528.216577217301,21900.8872072349,18373.706905634688,10344.744380665985,5513255.717905589,10768.675285905563,5157788.93869493,11917.892604319855,5112063.802185995,12481.557367693218,5117771.155642932,16852.028030818536,4585336.849139535,18943.76096977413,2677310.486500428,16122.605483240775,3497169.342340362,0.5980251991293857
39.0,-122.20251727539092,41.81997423382058,1.9200395440800189,22007.100049428656,41746.81126973516,11723.164364841685,28809406.89253627,11897.255546186729,26733151.95087664,12757.371529090222,22041138.10577733,12688.168595353707,22810632.83798301,18938.35376384729,4440893.725307475,15595.822652865409,6990600.701588987,13615.733070682987,11013003.014661407,0.5454634499519783
54.0,-121.96649758108424,41.59339467283579,17.77832529081642,33899.46210365103,250602639.38355392,11031.61146993389,12144823.095270349,11406.240238360824,12652681.818219474,12194.444788771434,11914543.594592651,12834.97397001264,12496219.538934762,16676.77092905265,10858897.826894172,18961.66018264667,6420926.226588669,16993.466427801628,6379492.649608063,0.5447314252029655
64.0,-121.3917262094011,40.12256250634545,1.5626576955424722,38076.646310432574,269939077.16030544,16367.38867684479,70991177.48081003,16728.844571670914,72454091.10655217,16331.555555555558,51221527.053011045,16580.3153095844,49677232.14493215,19645.363655640376,30549155.51219254,16933.95144189992,8432680.020886347,15332.141857506367,6429877.394508059,0.5830194727899557
65.0,-121.38966320981967,40.12163783492832,1.9163188647746243,38438.0,276024996.0,19522.857573866004,132607969.0930608,19881.340719933414,134542529.31330633,19001.811485642946,98338108.89471497,19379.353516437783,98635345.465876,21861.434769038704,67879889.04041822,18584.86672908864,20116130.234030385,16614.294943820227,14636109.3622035,0.5564166379964467
66.0,-121.386290377366,40.11864234133864,4.619822839358393,32819.55152098112,182241672.40832028,9761.81748226524,7845658.293074426,9983.942046410966,7255910.140435253,11875.09961524588,12644934.82707106,12088.666706745216,9689991.352170251,14437.818384032704,8134180.923920884,16512.478177227364,5350655.085487556,15429.356017794877,5143572.769568354,0.5345218873305738
67.0,-121.38349012317896,40.119217011146674,6.0288978494623615,31455.61515117456,159351145.10329324,10740.986961897272,14375352.536641566,11062.83235922221,14383916.92882432,12014.874171068896,15232771.4342194,12216.39052489603,15068555.40123075,15914.692593008878,8198722.86096437,15760.718444419466,3870386.518039788,14330.072440148366,5477664.5964651005,0.5732740972969423
