ID,Area_m2,Area_km2,NDVI,NDWI,Meadow
6,25458.447,0.02546,0.171511682,-0.187657952,Yes
13,35012.704,0.03501,0.191566093,-0.200603956,Yes
15,14311.618,0.01431,0.196548169,-0.212996202,Yes
18,9083.705,0.00908,0.193691547,-0.212517926,Yes
24,479933.213,0.47993,0.158398438,-0.182795661,Yes
29,149498.323,0.1495,0.188899443,-0.223470982,No
30,255277.358,0.25528,0.143360461,-0.184550684,No
46,5943.612,0.00594,0.197201319,-0.226535338,No
51,430218.407,0.43022,0.15087506,-0.191113288,Yes
53,100101.703,0.1001,0.183430121,-0.213011019,Yes
54,697539.279,0.69754,,,Yes
55,41040.543,0.04104,0.171276702,-0.202317517,Yes
57,9069.125,0.00907,0.173029687,-0.195447922,Yes
58,50877.964,0.05088,0.110409831,-0.136622956,No
59,29316.075,0.02932,0.184016408,-0.194348179,Yes
61,52399.602,0.0524,0.159085921,-0.176751585,Yes
64,6380.514,0.00638,0.196364385,-0.214589983,Yes
65,12996.923,0.013,0.187472127,-0.204758927,Yes
66,22463.708,0.02246,0.115780448,-0.14692302,No
72,25606.824,0.02561,0.185345676,-0.205784059,Yes
75,46453.973,0.04645,0.187927587,-0.20669411,Yes
76,14590.432,0.01459,0.146576058,-0.169154368,Yes
83,11648.891,0.01165,0.163944504,-0.19094479,Yes
85,12471.006,0.01247,0.146340043,-0.171817656,Yes
89,10366.757,0.01037,0.170252169,-0.189209367,Yes
90,3988.785,0.00399,0.19917988,-0.207930766,Yes
91,7073.419,0.00707,0.137555444,-0.156313215,Yes
92,38044.154,0.03804,0.119966803,-0.140719133,Yes
93,33117.885,0.03312,0.14089261,-0.167498579,Yes
94,5144.315,0.00514,0.149322358,-0.179479131,Yes
95,47936.17,0.04794,0.129061894,-0.152878099,Yes
97,36901.896,0.0369,0.158993428,-0.181345536,Yes
98,34716.1,0.03472,0.156653679,-0.190221556,Yes
99,97222.67,0.09722,0.162909406,-0.177900161,Yes
100,41030.397,0.04103,0.125166628,-0.147108238,Yes
101,6661.465,0.00666,0.110837169,-0.135254585,Yes
102,18570.984,0.01857,0.101921723,-0.125949776,No
103,1788.465,0.00179,0.093728407,-0.126434887,No
104,4320.078,0.00432,0.141691725,-0.173226029,Yes
105,9365.528,0.00937,0.178622206,-0.193985179,Yes
142,4443.465,0.00444,0.161084849,-0.159797766,No
145,6933.835,0.00693,0.195890682,-0.213175269,No
148,88199.626,0.0882,0.199010181,-0.214148961,Yes
150,719345.209,0.71935,0.195423478,-0.208509521,Yes
151,45922.138,0.04592,0.189980815,-0.204815698,Yes
162,11734.15,0.01173,0.186166399,-0.214846258,Yes
163,5270.868,0.00527,0.190642156,-0.215163829,Yes
164,4716.951,0.00472,0.167591009,-0.19523446,Yes
166,30840.866,0.03084,0.152969835,-0.191662643,Yes
167,2239.57,0.00224,0.063999126,-0.081982946,Yes
169,162490.922,0.16249,0.106062269,-0.115702924,Yes
170,82956.25,0.08296,0.169540723,-0.206217868,Yes
171,92013.121,0.09201,,,Yes
173,14752.759,0.01475,0.198070647,-0.204683192,Yes
174,55408.853,0.05541,0.191295302,-0.20909535,Yes
179,222873.037,0.22287,0.092772699,-0.136607219,No
180,155930.837,0.15593,0.003143318,-0.010301854,No
181,114759.783,0.11476,0.138542886,-0.183118021,No
183,150158.9,0.15016,0.126621018,-0.172825153,No
185,142513.926,0.14251,0.147514277,-0.190253025,No
186,142189.188,0.14219,0.104576512,-0.155720833,No
188,28106.024,0.02811,0.120888038,-0.179028739,No
189,4757.177,0.00476,0.12988615,-0.183190836,No
190,10546.07,0.01055,0.168574464,-0.215555497,No
191,98635.657,0.09864,0.110753778,-0.173211031,No
192,38687.402,0.03869,0.131218443,-0.176247233,No
194,165204.368,0.1652,0.064559009,-0.086302636,No
195,28699.485,0.0287,0.142699997,-0.197103665,No
196,18399.223,0.0184,0.155250732,-0.205968317,No
197,116177.371,0.11618,0.158871357,-0.209438823,No
200,156285.226,0.15629,0.155492456,-0.197032695,
201,118711.852,0.11871,0.126061124,-0.18071911,
202,41674.711,0.04167,0.127385396,-0.186731382,
203,139104.003,0.1391,0.119516381,-0.177635409,
204,25218.415,0.02522,0.14029955,-0.206155137,
205,62943.849,0.06294,0.132544038,-0.181336482,
206,28371.711,0.02837,0.171906783,-0.213530312,
208,1723.239,0.00172,0.154110998,-0.20188014,
209,5067.37,0.00507,0.158695017,-0.209101915,
210,100186.363,0.10019,0.144982796,-0.185156895,
211,86960.931,0.08696,0.14787899,-0.189421496,
212,18884.175,0.01888,0.170905886,-0.20539184,
213,11989.961,0.01199,0.141123375,-0.183533224,
214,5662.114,0.00566,0.13741198,-0.178831469,
215,5227.524,0.00523,0.154548953,-0.194536113,
216,6931.83,0.00693,0.138435127,-0.176837368,
217,15306.7,0.01531,0.137778964,-0.172663452,
218,6917.434,0.00692,0.131773594,-0.170958705,
219,11724.081,0.01172,0.167266748,-0.200724061,
220,2769.666,0.00277,0.167207816,-0.202703187,
221,67762.892,0.06776,0.155769612,-0.189951129,
222,6166.421,0.00617,0.158868645,-0.194717733,
223,22036.242,0.02204,0.137384807,-0.183898477,
224,13095.006,0.0131,0.119623668,-0.162250508,
225,68639.872,0.06864,0.110181004,-0.158930157,
226,5918.429,0.00592,0.11346247,-0.160320856,
227,3869.885,0.00387,0.127385278,-0.164886729,
228,7995.612,0.008,0.133330253,-0.170543469,
229,60559.71,0.06056,0.161863085,-0.193010089,
230,17063.144,0.01706,0.111036188,-0.166170813,
231,34501.478,0.0345,0.198322309,-0.245004633,
248,80790.177,0.08079,0.19889804,-0.244867394,
250,17498.196,0.0175,0.149951032,-0.182088329,
252,23781.704,0.02378,0.196877508,-0.227722277,
256,76110.177,0.07611,0.184401483,-0.21957245,
259,93105.892,0.09311,0.173294385,-0.214565998,
260,86294.027,0.08629,0.159082816,-0.201337949,
261,53955.733,0.05396,0.13284117,-0.17394248,
270,29958.349,0.02996,0.171589668,-0.219850793,
274,14402.736,0.0144,0.153676767,-0.178152691,
290,12174.366,0.01217,0.158190404,-0.184633139,
293,13896.333,0.0139,0.166258636,-0.192148648,
337,13698.493,0.0137,0.18910341,-0.203129775,
340,17815.682,0.01782,0.164765423,-0.180474804,
367,10902.722,0.0109,0.168028054,-0.189733437,
375,21431.794,0.02143,0.196610069,-0.225744876,
385,35514.607,0.03551,0.181894292,-0.216913027,
389,8772.122,0.00877,0.163944361,-0.196613908,
390,130837.529,0.13084,0.194162148,-0.228988837,
394,27136.525,0.02714,0.191888042,-0.213127588,
402,5163.241,0.00516,0.176696537,-0.195724297,
429,6475.772,0.00648,0.137564348,-0.190059783,
439,28049.492,0.02805,0.197350515,-0.229738578,
445,44199.264,0.0442,0.168885084,-0.211116287,
491,8701.757,0.0087,0.167547372,-0.202990665,
509,46578.166,0.04658,0.107043192,-0.158072858,
510,21724.668,0.02172,0.193719342,-0.226799801,
511,4389.429,0.00439,0.161261217,-0.197583977,
514,19218.843,0.01922,0.195699994,-0.23050551,
518,49597.307,0.0496,0.185638813,-0.227362728,
522,16558.616,0.01656,0.14850522,-0.198567533,
534,13116.087,0.01312,0.188159365,-0.229358149,
695,5234.934,0.00523,0.132953419,-0.162337057,
699,18476.347,0.01848,0.137505145,-0.175475005,
701,4807.34,0.00481,0.180219808,-0.211357641,
703,32076.875,0.03208,0.180026797,-0.227422995,
707,56974.068,0.05697,0.126133602,-0.182385156,
721,5888.315,0.00589,,,
734,7514.268,0.00751,0.139280391,-0.162351466,
783,7585.455,0.00759,0.190835642,-0.224013302,
786,36728.707,0.03673,0.175721885,-0.20831809,
796,5268.399,0.00527,0.17841978,-0.204437076,
797,18112.948,0.01811,0.191800548,-0.219139277,
937,9658.19,0.00966,0.150285489,-0.135067977,
949,11499.697,0.0115,0.098919481,-0.120048894,
960,43729.344,0.04373,0.191445941,-0.210804095,
968,55559.624,0.05556,0.114371603,-0.10605089,
985,25105.383,0.02511,0.148521683,-0.132163402,
988,18636.976,0.01864,0.014104005,-0.01584513,
995,39199.202,0.0392,0.049690584,-0.066245039,
1009,56928.97,0.05693,0.1510577,-0.138138708,
1012,13713.634,0.01371,0.04575224,-0.054810056,
1014,10702.097,0.0107,0.18901065,-0.179483326,
1016,7903.459,0.0079,0.098786315,-0.089450558,
1025,6318.225,0.00632,0.073044938,-0.077690522,
1026,22246.61,0.02225,0.146875633,-0.163991795,
1028,12132.31,0.01213,0.171995465,-0.200186459,
1030,36129.073,0.03613,0.147206485,-0.151089393,
1032,36549.299,0.03655,0.015661693,-0.019030386,
1033,20879.139,0.02088,0.114761209,-0.136129266,
1034,7040.907,0.00704,0.112566965,-0.128880431,
1038,17490.82,0.01749,0.128143474,-0.139216811,
1039,17579.202,0.01758,0.162081468,-0.174280084,
1040,5388.281,0.00539,-0.011717613,0.013188341,
1042,11899.222,0.0119,0.155537805,-0.155139243,
1044,11429.721,0.01143,0.038727819,-0.054809962,
1046,19443.726,0.01944,0.165845073,-0.166105928,
1050,5278.969,0.00528,0.119252056,-0.117928088,
1055,6397.013,0.0064,-0.002676834,0.000167687,
1058,9015.834,0.00902,0.01748818,-0.023304716,
1060,8381.228,0.00838,0.032979328,-0.044075388,
1062,46215.021,0.04622,0.018578961,-0.026412593,
1063,72112.626,0.07211,0.141630519,-0.145904103,
1065,7157.665,0.00716,0.057600929,-0.063131272,
1066,12508.279,0.01251,0.192646728,-0.210218086,
1069,10476.342,0.01048,0.096745644,-0.092560386,
1074,32096.638,0.0321,0.13871392,-0.150312928,
1079,53439.241,0.05344,0.117073361,-0.11823814,
1082,30365.933,0.03037,0.124527987,-0.137516294,
1084,4161.717,0.00416,0.148898645,-0.159563941,
1085,10050.313,0.01005,0.152177767,-0.16341665,
1086,8724.203,0.00872,0.055414428,-0.06624566,
1091,4836.755,0.00484,0.188211279,-0.21321332,
1098,33924.57,0.03392,0.188043459,-0.204235096,
1099,36677.258,0.03668,0.175326882,-0.185253223,
1122,53322.992,0.05332,0.187209962,-0.184000031,
1126,10169.898,0.01017,0.014449614,-0.02583616,
1132,10681.299,0.01068,0.04222667,-0.055711984,
1135,12606.59,0.01261,0.13376509,-0.146439433,
1145,7069.154,0.00707,0.125959931,-0.1144483,
1146,13748.48,0.01375,0.146238698,-0.168884478,
1148,6828.522,0.00683,0.137432439,-0.134606288,
1149,28224.818,0.02822,0.098366464,-0.103397242,
1153,4602.817,0.0046,0.127853612,-0.156270689,
1159,15535.687,0.01554,0.185908679,-0.198165816,
1163,8616.192,0.00862,0.051919724,-0.066547124,
1167,33961.061,0.03396,0.115871793,-0.136185392,
1168,10982.395,0.01098,0.03129293,-0.04889103,
1174,7008.282,0.00701,0.061732596,-0.086407211,
1183,8638.232,0.00864,0.113849231,-0.108076431,
1185,5961.63,0.00596,0.040251605,-0.056735033,
1192,6564.792,0.00656,0.095735215,-0.118639977,
1193,6813.61,0.00681,0.181236057,-0.188718806,
1196,17712.358,0.01771,0.118325799,-0.134970118,
1198,25404.009,0.0254,0.026448525,-0.037905771,
1202,9372.183,0.00937,0.108179282,-0.129456084,
1220,8464.745,0.00846,0.111257086,-0.112376885,
1228,6682.624,0.00668,0.072044013,-0.083192364,
1246,12731.092,0.01273,0.197647903,-0.223828868,
1250,7637.78,0.00764,0.165582256,-0.190064406,
1252,10423.036,0.01042,0.165700764,-0.188038594,
1259,7375.658,0.00738,0.074880104,-0.095061104,
1269,25321.233,0.02532,0.038853512,-0.052060293,
1273,18165.829,0.01817,0.023228656,-0.03119572,
1286,6184.474,0.00618,0.17781333,-0.183578451,
1288,7961.701,0.00796,0.108368673,-0.114847156,
1292,28561.217,0.02856,0.136697147,-0.149101779,
1300,14811.481,0.01481,0.198803466,-0.206013432,
1302,44853.135,0.04485,0.196585856,-0.212605248,
1308,19176.409,0.01918,0.199582273,-0.212773598,
1313,13033.108,0.01303,0.033148064,-0.051277383,
1314,107107.311,0.10711,0.131803818,-0.136171409,
1315,22599.45,0.0226,0.014388764,-0.026352456,
1317,5536.965,0.00554,0.041666137,-0.049503439,
1318,7730.613,0.00773,0.02911049,-0.036422757,
1319,20750.885,0.02075,0.108874399,-0.123268064,
1321,12699.527,0.0127,0.144799171,-0.148790643,
1326,21886.096,0.02189,0.087094077,-0.084320705,
1330,140439.95,0.14044,0.094619687,-0.105306601,
1331,7766.869,0.00777,0.085478874,-0.107974647,
1334,24826.744,0.02483,0.104901609,-0.115954296,
1337,26417.414,0.02642,0.154838277,-0.159564146,
1340,14010.898,0.01401,0.127137099,-0.133820153,
1343,89828.111,0.08983,0.158803292,-0.169242795,
1345,176493.403,0.17649,0.140832272,-0.142489453,
1348,6901.539,0.0069,0.14339184,-0.142006576,
1349,75230.542,0.07523,0.19241522,-0.214255775,
1354,5877.914,0.00588,0.015779932,-0.024655387,
1358,24269.117,0.02427,0.01117029,-0.013793921,
1371,27234.637,0.02723,0.049305333,-0.064610024,
1376,7493.912,0.00749,0.11613547,-0.118555937,
1396,11489.251,0.01149,0.128450962,-0.117894866,
1399,5615.8,0.00562,0.022516033,-0.03329839,
1402,34737.311,0.03474,0.199542491,-0.205729079,
1416,40136.235,0.04014,0.168639747,-0.191091435,
1418,95722.438,0.09572,0.013445611,-0.019833149,
1426,10977.598,0.01098,0.122333349,-0.123364819,
1431,12385.217,0.01239,0.141984169,-0.164706719,
1432,177816.301,0.17782,0.173725245,-0.177699672,
1434,36569.062,0.03657,0.051296591,-0.044647783,
1438,67395.175,0.0674,0.111768245,-0.10788742,
1441,77516.766,0.07752,0.02894802,-0.04084526,
1442,28827.112,0.02883,0.104954438,-0.108220566,
1443,24542.418,0.02454,0.087401134,-0.080852518,
1448,5775.474,0.00578,0.136933058,-0.13288304,
1457,112068.875,0.11207,0.147777709,-0.144448757,
1459,4888.36,0.00489,0.144412563,-0.144114957,
1467,15644.942,0.01564,0.145466269,-0.14726525,
1475,32320.595,0.03232,0.194122229,-0.191410308,
1486,4301.483,0.0043,0.032458016,-0.043602638,
1495,144030.575,0.14403,0.064772801,-0.071056971,
1496,8253.326,0.00825,0.162448036,-0.172830384,
1497,29560.224,0.02956,0.078759939,-0.092043018,
1498,31200.862,0.0312,0.142790999,-0.136762954,
1500,12842.582,0.01284,0.087599436,-0.080417507,
1501,6660.124,0.00666,0.083449407,-0.072189255,
1502,13610.611,0.01361,0.069776537,-0.061993018,
1503,96633.614,0.09663,0.181364628,-0.187547196,
1506,36592.44,0.03659,0.165707026,-0.155549661,
1508,9686.778,0.00969,0.091801751,-0.080690492,
1509,86287.19,0.08629,0.090906897,-0.086310885,
1525,23867.183,0.02387,0.125135711,-0.133594003,
1530,7168.101,0.00717,0.093376613,-0.082833,
1531,7164.622,0.00716,0.075099266,-0.064400934,
1543,4378.628,0.00438,0.10006793,-0.091338882,
1545,12957.126,0.01296,0.138852664,-0.151554529,
1547,15374.546,0.01537,0.082765007,-0.097080148,
1549,13571.623,0.01357,0.139807046,-0.129914431,
1550,5412.222,0.00541,0.036532484,-0.04699835,
1553,19113.747,0.01911,0.153235263,-0.180880161,
1559,11378.656,0.01138,0.069794577,-0.074172022,
1560,7422.129,0.00742,0.157342186,-0.180532262,
1568,15634.253,0.01563,0.198954381,-0.214856628,
1573,11658.731,0.01166,0.051438531,-0.058328128,
1575,8594.703,0.00859,0.155950338,-0.158512668,
1594,12282.195,0.01228,0.078888625,-0.087477454,
1595,19237.767,0.01924,0.171269709,-0.205823288,
1597,67763.793,0.06776,0.177865816,-0.19847381,
1603,7098.585,0.0071,0.178495472,-0.207763038,
1610,28336.615,0.02834,0.121079429,-0.15907845,
1618,22873.585,0.02287,-0.0097544,0.011787495,
1619,6519.52,0.00652,0.00970705,-0.016413294,
1621,11511.991,0.01151,0.001678436,-0.005650719,
1622,30276.709,0.03028,-0.006645816,0.001675297,
1627,6077.811,0.00608,-0.008924147,0.005088371,
1630,84717.696,0.08472,0.070374046,-0.073626066,
1631,8505.464,0.00851,0.073511168,-0.072790684,
1634,7005.718,0.00701,0.100866413,-0.092614963,
1636,10712.172,0.01071,0.154630897,-0.200926394,
1643,10650.366,0.01065,0.12671445,-0.115072193,
1648,31455.24,0.03146,-0.00694856,0.002348957,
1654,8807.76,0.00881,0.015160963,-0.02675684,
1656,13076.329,0.01308,0.13495483,-0.131957545,
1659,18799.904,0.0188,0.145514942,-0.134661412,
1660,5662.761,0.00566,0.106012904,-0.093277684,
1666,16328.038,0.01633,0.177966952,-0.198841955,
1673,8826.023,0.00883,0.132950696,-0.161754412,
1675,2381.023,0.00238,0.159760782,-0.16791306,
1676,5623.95,0.00562,0.194750239,-0.15641294,
1678,6957.402,0.00696,0.037864521,-0.045953038,
1680,8594.163,0.00859,0.096374008,-0.098489109,
1682,6740.979,0.00674,0.003422056,-0.005919281,
1686,20719.671,0.02072,0.145005031,-0.141658571,
1689,43411.721,0.04341,0.098945668,-0.104484568,
1693,7651.548,0.00765,0.170688974,-0.19723895,
1696,18333.711,0.01833,0.065648413,-0.074121878,
1705,93610.843,0.09361,0.012574387,-0.010425852,
1711,33448.197,0.03345,0.19878016,-0.204929185,
1713,11450.986,0.01145,0.014563418,-0.023293799,
1715,8432.123,0.00843,0.059099504,-0.06659427,
1717,55421.208,0.05542,0.017088285,-0.016458906,
1725,35896.708,0.0359,0.066889732,-0.060239253,
1750,147094.042,0.14709,0.065585446,-0.071563503,
1767,17591.472,0.01759,0.162896449,-0.171720457,
1771,41243.888,0.04124,0.18383222,-0.248887014,
1772,33188.881,0.03319,0.134807963,-0.135319427,
1777,9450.986,0.00945,0.081273596,-0.101676668,
1784,19514.809,0.01951,0.108457683,-0.124857675,
1786,32132.341,0.03213,0.011874175,-0.01607307,
1791,7616.809,0.00762,0.005077719,-0.009097169,
1793,13923.213,0.01392,-0.001393664,0.00018264,
