Site,ID,SampleDate,Latitude,Longitude,CH4.nmol.m2.s,CO2.umol.m2.s,N2O.nmol.m2.s,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,AET,Driver,Days_of_data_acquisition_offset,Minimum_temperature,Maximum_temperature,NDVI,NDWI,EVI,SAVI,BSI,NDPI,NDGI
Calf,CP10,2022-08-03,38.93842396,-120.291037,,3.303178051,,0.0364724999999999,0.054375,0.0606725,0.2255075,0.21888,0.1441625,61,2024.1837158203125,2.301628336015894,27.200000000000003,LANDSAT_8,10.222338078703704,285.36871337890625,297.3359680175781,0.5759836466559507,0.0149137858288093,0.3131366956085635,0.3144985881095932,0.0324495759718946,0.3966962265062448,0.2795987006476577
Calf,CP11,2022-08-03,38.938662,-120.291207,,9.761806116,,0.0256099999999999,0.0504149999999999,0.04013,0.2777575,0.1879425,0.0968625,58,2024.6436767578125,2.5011839711788606,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3837280273437,297.3492431640625,0.7475207424010066,0.1928602104359029,0.4478594381673058,0.4358071861961455,-0.141681092879723,0.6202867844753007,0.5029597612918735
Calf,CP12,2022-08-03,38.93889402,-120.291375,,10.0278494,,0.0256099999999999,0.04805,0.04013,0.2777575,0.1879425,0.0880075,59,2026.031982421875,2.822043939688783,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3764038085937,297.3433837890625,0.7475207424010066,0.1928602104359029,0.4478594381673058,0.4358071861961455,-0.141681092879723,0.6389116386431652,0.4979003275221313
Calf,CP13,2022-08-03,38.93902796,-120.291088,,3.068371809,,0.0256099999999999,0.04805,0.04013,0.2869975,0.1851375,0.0880075,61,2027.4622802734373,2.7432704158431096,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3690795898437,297.3374938964844,0.7546522380417422,0.2157433784828492,0.462055547548949,0.4476954883013804,-0.1623797350685568,0.6484938264230014,0.5067952989099476
Calf,CP14,2022-08-03,38.93879503,-120.290917,,7.430350347,,0.0256099999999999,0.0504149999999999,0.04013,0.2777575,0.1879425,0.0968625,64,2025.4029541015625,2.948502386690476,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3614807128906,297.3301696777344,0.7475207424010066,0.1928602104359029,0.4478594381673058,0.4358071861961455,-0.141681092879723,0.6202867844753007,0.5029597612918735
Calf,CP15,2022-08-03,38.938547,-120.290754,,6.99029507,,0.0256375,0.0528075,0.0465375,0.2361774999999999,0.1964125,0.1086874999999999,61,2024.1837158203125,2.301628336015894,27.200000000000003,LANDSAT_7,1.7130852893518518,285.36871337890625,297.3359680175781,0.6707815291017455,0.0919230680320858,0.3583193906076257,0.3634273011249304,-0.0373738274246431,0.5234260355220425,0.4054859704270229
Calf,CP16,2022-08-03,38.93864599,-120.290454,,2.133817488,,0.0341624999999999,0.0528075,0.055145,0.21767,0.2330424999999999,0.1441075,65,2023.708984375,1.8739183855836363,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3536682128906,297.3226623535156,0.5957333724318677,-0.0341071081898104,0.3144051836956175,0.3154538925874886,0.0673215806821968,0.3955061330273098,0.30804770198306536
Calf,CP17,2022-08-03,38.93888597,-120.290654,,7.474017795,,0.0341624999999999,0.0528075,0.0465375,0.2777575,0.2076875,0.102775,69,2024.709716796875,2.7327145688926886,27.200000000000003,LANDSAT_7,1.7130852893518518,285.3465270996094,297.31695556640625,0.7129927997656454,0.1443417894921154,0.4443927654041711,0.4207595581678889,-0.101908521668477,0.5915533915215899,0.45098018396809053
Calf,CP18,2022-08-03,38.93915603,-120.290767,,12.23999952,,0.0277824999999999,0.0528075,0.0465375,0.2869975,0.1964125,0.0968625,67,2026.97900390625,3.184426788699605,27.200000000000003,LANDSAT_7,1.7130852893518518,285.354248046875,297.32440185546875,0.720943828983465,0.1873875178419975,0.4427207274715704,0.4327232809660062,-0.1287899162677281,0.6138051833399871,0.4601602623664625
Calf,CP19,2022-08-03,38.938416,-120.292681,,4.494116823,,0.0418625,0.0628725,0.0722775,0.2537775,0.2636225,0.1623399999999999,45,2023.0721435546875,1.2390047404546405,27.200000000000003,LANDSAT_8,10.222338078703704,285.4515380859375,297.4085693359375,0.5566545521461104,-0.0190278314650173,0.3303667070448197,0.3295785389592702,0.0637489311840896,0.3879663369179548,0.2575972064639348
