Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70   12.342    0.176   12.342    0.176 {method 'read' of '_ssl._SSLSocket' objects}
       30    2.831    0.094    2.831    0.094 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       30    1.263    0.042    1.263    0.042 {method 'connect' of '_socket.socket' objects}
       30    0.238    0.008    0.238    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       30    0.044    0.001    0.056    0.002 connectionpool.py:479(close)
       30    0.019    0.001    0.019    0.001 {built-in method _socket.getaddrinfo}
  2440/50    0.018    0.000    0.061    0.001 serializer.py:183(_encode_cloud_object)
    24570    0.017    0.000    0.041    0.000 os.py:674(__getitem__)
     2240    0.015    0.000    0.015    0.000 encoder.py:204(iterencode)
    25260    0.015    0.000    0.061    0.000 _collections_abc.py:849(__iter__)
    24570    0.012    0.000    0.024    0.000 os.py:746(encodekey)
    55430    0.012    0.000    0.017    0.000 {built-in method builtins.isinstance}
      150    0.011    0.000    0.072    0.000 request.py:2486(getproxies_environment)
     2370    0.010    0.000    0.015    0.000 discovery.py:151(key2param)
      150    0.010    0.000    0.010    0.000 {built-in method nt.stat}
  4027/50    0.008    0.000    0.020    0.000 serializer.py:450(_optimize_value)
      120    0.007    0.000    0.025    0.000 discovery.py:979(set_parameters)
    24300    0.006    0.000    0.006    0.000 os.py:697(__iter__)
  4508/50    0.006    0.000    0.011    0.000 serializer.py:555(_visit_all_values)
    24570    0.006    0.000    0.008    0.000 os.py:740(check_str)
    33000    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
      240    0.006    0.000    0.008    0.000 url.py:210(_encode_invalid_chars)
  1290/50    0.006    0.000    0.059    0.001 computedobject.py:136(encode_cloud_value)
     2240    0.005    0.000    0.021    0.000 encoder.py:182(encode)
 2700/100    0.005    0.000    0.009    0.000 copy.py:128(deepcopy)
      120    0.005    0.000    0.043    0.000 discovery.py:1021(createMethod)
      710    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x00007FFBCBAE3C60}
      240    0.004    0.000    0.004    0.000 {built-in method winreg.QueryValueEx}
    29728    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
       30    0.004    0.000    0.004    0.000 {function socket.close at 0x00000183FF410670}
       90    0.004    0.000    0.004    0.000 discovery.py:687(_cast)
     4637    0.004    0.000    0.008    0.000 {built-in method builtins.any}
    21720    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
1910/1880    0.004    0.000    0.025    0.000 computedobject.py:22(__call__)
  520/190    0.003    0.000    0.044    0.000 function.py:78(promoteArgs)
    24810    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
       30    0.003    0.000    0.008    0.000 ssl.py:1298(_real_close)
       60    0.003    0.000    0.003    0.000 {method 'write' of '_ssl._SSLSocket' objects}
    18548    0.003    0.000    0.003    0.000 serializer.py:461(<genexpr>)
      790    0.003    0.000    0.005    0.000 client.py:609(_safe_read)
 1560/570    0.003    0.000    0.048    0.000 __init__.py:205(_Promote)
     4090    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
