Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70   13.954    0.199   13.954    0.199 {method 'read' of '_ssl._SSLSocket' objects}
       30    7.247    0.242    7.247    0.242 {method 'connect' of '_socket.socket' objects}
       30    2.293    0.076    2.293    0.076 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       30    0.288    0.010    0.288    0.010 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       30    0.064    0.002    0.064    0.002 {built-in method _socket.getaddrinfo}
       30    0.038    0.001    0.048    0.002 connectionpool.py:479(close)
    24570    0.015    0.000    0.035    0.000 os.py:674(__getitem__)
  2440/50    0.014    0.000    0.048    0.001 serializer.py:183(_encode_cloud_object)
    25260    0.013    0.000    0.053    0.000 _collections_abc.py:849(__iter__)
     2240    0.013    0.000    0.013    0.000 encoder.py:204(iterencode)
    24570    0.010    0.000    0.020    0.000 os.py:746(encodekey)
    54958    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
      150    0.009    0.000    0.062    0.000 request.py:2486(getproxies_environment)
      150    0.008    0.000    0.008    0.000 {built-in method nt.stat}
     2370    0.008    0.000    0.012    0.000 discovery.py:151(key2param)
  4027/50    0.007    0.000    0.016    0.000 serializer.py:450(_optimize_value)
      120    0.006    0.000    0.020    0.000 discovery.py:979(set_parameters)
    24300    0.006    0.000    0.006    0.000 os.py:697(__iter__)
  4508/50    0.005    0.000    0.009    0.000 serializer.py:555(_visit_all_values)
    24570    0.005    0.000    0.007    0.000 os.py:740(check_str)
      240    0.005    0.000    0.007    0.000 url.py:210(_encode_invalid_chars)
      702    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFBCBAE3C60}
    31128    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
  1290/50    0.004    0.000    0.047    0.001 computedobject.py:136(encode_cloud_value)
       90    0.004    0.000    0.004    0.000 discovery.py:687(_cast)
     2240    0.004    0.000    0.018    0.000 encoder.py:182(encode)
      120    0.004    0.000    0.034    0.000 discovery.py:1021(createMethod)
      240    0.004    0.000    0.004    0.000 {built-in method winreg.QueryValueEx}
    29584    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    21720    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     4637    0.003    0.000    0.006    0.000 {built-in method builtins.any}
